# {"t_start": 1593579328.9626467, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-307.2240100763738,100,3.214333,-307.2240100763738,0.0,0.0,0.0,0.0,0.0
-514.3739274740219,100,4.460773,-514.3739274740219,0.0,0.0,0.0,0.0,0.0
-308.3755445815623,100,5.730376,-306.3755445815623,-1.0,0.0,-1.0,0.0,0.0
-531.7446296513081,100,6.973381,-531.7446296513081,0.0,0.0,0.0,0.0,0.0
-326.5771769657731,100,8.191174,-322.5771769657731,0.0,0.0,0.0,-2.0,-2.0
-595.5125931985676,100,9.435124,-595.5125931985676,0.0,0.0,0.0,0.0,0.0
-457.746013677679,100,10.621644,-457.746013677679,0.0,0.0,0.0,0.0,0.0
-238.09974634554237,100,11.770254,-238.09974634554237,0.0,0.0,0.0,0.0,0.0
-412.815578059759,100,12.914593,-412.815578059759,0.0,0.0,0.0,0.0,0.0
-583.2956466395408,100,14.075653,-583.2956466395408,0.0,0.0,0.0,0.0,0.0
-386.70141561701894,100,39.785767,-384.70141561701894,0.0,0.0,0.0,0.0,-2.0
-451.8299750331789,100,40.83984,-437.8299750331789,-2.0,-4.0,-1.0,-7.0,0.0
-578.3795932326466,100,41.980733,-552.3795932326466,-7.0,-3.0,-6.0,-10.0,0.0
-284.834557287395,100,43.087663,-268.834557287395,0.0,0.0,-4.0,-6.0,-6.0
-530.1652350220829,100,44.21031,-521.1652350220829,-3.0,-3.0,-3.0,0.0,0.0
-514.7351001091301,100,45.295738,-494.73510010913014,-6.0,-4.0,-2.0,0.0,-8.0
-546.6489124186337,100,46.343063,-542.6489124186337,0.0,-2.0,0.0,-2.0,0.0
-580.1711951494217,100,47.46498,-576.1711951494217,-2.0,0.0,0.0,0.0,-2.0
-394.7279927358031,100,49.334574,-388.7279927358031,0.0,-6.0,0.0,0.0,0.0
-680.2013987600803,100,51.272114,-656.2013987600803,0.0,0.0,0.0,-12.0,-12.0
-455.85851538181305,100,67.339386,-441.85851538181305,-4.0,0.0,0.0,-5.0,-5.0
-216.10525579750538,100,68.456218,-216.10525579750538,0.0,0.0,0.0,0.0,0.0
-422.29167678952217,100,69.645024,-422.29167678952217,0.0,0.0,0.0,0.0,0.0
-412.6806768104434,100,70.932472,-404.6806768104434,0.0,0.0,-1.0,-7.0,0.0
-436.08836693596095,100,73.522878,-428.08836693596095,-5.0,-3.0,0.0,0.0,0.0
-323.09252548217773,100,75.594309,-308.09252548217773,-1.0,-7.0,0.0,0.0,-7.0
-374.3023673929274,100,76.823412,-352.3023673929274,-4.0,-5.0,-1.0,-6.0,-6.0
-311.2978194989264,100,78.039312,-305.2978194989264,0.0,-1.0,-2.0,-2.0,-1.0
