# {"t_start": 1593579328.9659693, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-249.98500823508948,100,3.21209,-249.98500823508948,0.0,0.0,0.0,0.0,0.0
-855.4126435518265,100,4.453957,-854.4126435518265,0.0,0.0,0.0,-1.0,0.0
-679.3130140677094,100,5.727356,-677.3130140677094,0.0,0.0,-2.0,0.0,0.0
-230.98628877988085,100,6.967941,-230.98628877988085,0.0,0.0,0.0,0.0,0.0
-366.59956409037113,100,8.188956,-366.59956409037113,0.0,0.0,0.0,0.0,0.0
-284.18544788844883,100,9.432808,-284.18544788844883,0.0,0.0,0.0,0.0,0.0
-335.69664537301287,100,10.616396,-335.69664537301287,0.0,0.0,0.0,0.0,0.0
-302.4487436115742,100,11.766981,-302.4487436115742,0.0,0.0,0.0,0.0,0.0
-342.55939783528447,100,12.911204,-342.55939783528447,0.0,0.0,0.0,0.0,0.0
-349.23024702165276,100,14.068627,-349.23024702165276,0.0,0.0,0.0,0.0,0.0
-383.8983214125037,100,39.782966,-381.8983214125037,0.0,0.0,0.0,-1.0,-1.0
-345.88470239937305,100,40.83601,-341.88470239937305,0.0,0.0,0.0,-2.0,-2.0
-426.85129721462727,100,41.977739,-418.85129721462727,-1.0,-5.0,0.0,-2.0,0.0
-337.46855422481894,100,43.086214,-337.46855422481894,0.0,0.0,0.0,0.0,0.0
-366.35238561499864,100,44.207515,-358.35238561499864,0.0,-4.0,0.0,-1.0,-3.0
-463.9019821025431,100,45.289544,-459.9019821025431,0.0,0.0,-2.0,0.0,-2.0
-268.6316788746044,100,46.339901,-267.6316788746044,0.0,0.0,0.0,-1.0,0.0
-362.3831141926348,100,47.460153,-337.3831141926348,-4.0,-4.0,-4.0,0.0,-13.0
-412.60247161984444,100,49.327765,-395.60247161984444,-1.0,-3.0,-4.0,-3.0,-6.0
-358.0333120394498,100,51.261639,-346.0333120394498,-5.0,0.0,-3.0,-1.0,-3.0
-468.4449078440666,100,67.335773,-456.4449078440666,0.0,-5.0,0.0,-2.0,-5.0
-427.4237381219864,100,68.452557,-401.4237381219864,-10.0,-6.0,-7.0,-3.0,0.0
-334.705264469143,100,69.638156,-326.705264469143,-4.0,-1.0,-2.0,0.0,-1.0
-663.7225701361895,100,70.935364,-657.7225701361895,-3.0,-3.0,0.0,0.0,0.0
-495.1213386300951,100,73.514325,-493.1213386300951,-1.0,-1.0,0.0,0.0,0.0
-860.6546240001917,100,75.584474,-852.6546240001917,-1.0,0.0,-3.0,-2.0,-2.0
-445.71776754036546,100,76.820631,-445.71776754036546,0.0,0.0,0.0,0.0,0.0
-417.9089603610337,100,78.035956,-417.9089603610337,0.0,0.0,0.0,0.0,0.0
-266.42553510237485,100,79.494066,-262.42553510237485,0.0,-2.0,0.0,-2.0,0.0
-677.2145381644368,100,80.891937,-666.2145381644368,0.0,0.0,-6.0,-1.0,-4.0
-419.2626734310761,100,99.80899,-411.2626734310761,-4.0,-2.0,-2.0,0.0,0.0
-314.2497908398509,100,102.233067,-310.2497908398509,0.0,-4.0,0.0,0.0,0.0
-441.5954829156399,100,103.662863,-437.5954829156399,0.0,0.0,0.0,-1.0,-3.0
-533.2271121069789,100,105.330733,-517.2271121069789,-8.0,-3.0,-4.0,-1.0,0.0
-340.57527075335383,100,107.028216,-310.57527075335383,0.0,-5.0,-9.0,-14.0,-2.0
-429.8375354781747,100,108.738162,-423.8375354781747,0.0,-1.0,-3.0,-2.0,0.0
-378.7078911997378,100,110.481792,-366.7078911997378,-6.0,0.0,0.0,-6.0,0.0
-510.94529140368104,100,112.17225,-490.94529140368104,-8.0,0.0,-2.0,-8.0,-2.0
-398.5952537059784,100,113.936135,-360.5952537059784,-2.0,-9.0,-20.0,0.0,-7.0
-509.827058554627,100,115.369424,-502.827058554627,-2.0,-2.0,-3.0,0.0,0.0
-514.2137648537755,100,133.839195,-508.2137648537755,-2.0,-2.0,0.0,0.0,-2.0
-529.3951985184103,100,135.302375,-524.3951985184103,0.0,-3.0,0.0,-2.0,0.0
-291.9313087426126,100,136.812265,-285.9313087426126,0.0,-6.0,0.0,0.0,0.0
-451.36318005621433,100,138.348527,-445.36318005621433,0.0,-3.0,-3.0,0.0,0.0
-310.240882367827,100,140.207703,-304.240882367827,0.0,0.0,0.0,-3.0,-3.0
-431.60513208061457,100,141.567535,-421.60513208061457,-1.0,-5.0,0.0,0.0,-4.0
-384.47907322458923,100,143.27331,-381.47907322458923,0.0,0.0,0.0,0.0,-3.0
-393.6817761734128,100,144.677837,-383.6817761734128,-5.0,0.0,0.0,-5.0,0.0
-419.6327580427751,100,146.068077,-419.6327580427751,0.0,0.0,0.0,0.0,0.0
-350.03743298351765,100,147.350787,-340.03743298351765,-3.0,-3.0,-3.0,-1.0,0.0
-462.1758812777698,100,166.993898,-446.1758812777698,-3.0,0.0,-3.0,-3.0,-7.0
-527.109638273716,100,168.437628,-519.109638273716,-1.0,0.0,-5.0,0.0,-2.0
-349.91392256878316,100,169.897174,-345.91392256878316,-1.0,-2.0,-1.0,0.0,0.0
-354.3803598359227,100,171.468982,-343.3803598359227,-2.0,-7.0,0.0,-2.0,0.0
-384.2838410940021,100,172.982667,-382.2838410940021,0.0,0.0,-2.0,0.0,0.0
-355.87190186977386,100,174.529321,-342.87190186977386,0.0,0.0,-5.0,-4.0,-4.0
-384.2336829826236,100,176.058695,-376.2336829826236,-4.0,-3.0,0.0,0.0,-1.0
-348.41230152361095,100,177.573675,-348.41230152361095,0.0,0.0,0.0,0.0,0.0
-332.78071895521134,100,179.085814,-304.78071895521134,0.0,-11.0,-3.0,-8.0,-6.0
-360.11521743796766,100,180.477644,-337.11521743796766,-11.0,0.0,0.0,-12.0,0.0
-388.4820165243,100,199.917852,-341.4820165243,-16.0,-9.0,-15.0,0.0,-7.0
-438.0980813894421,100,201.571443,-424.0980813894421,-6.0,-1.0,-1.0,0.0,-6.0
-361.7020420699846,100,202.914946,-355.7020420699846,-6.0,0.0,0.0,0.0,0.0
-381.6013642400503,100,204.42221,-375.6013642400503,-2.0,0.0,0.0,0.0,-4.0
-416.5082623977214,100,206.022372,-393.5082623977214,-10.0,-3.0,0.0,-1.0,-9.0
-326.14056129567325,100,207.464173,-326.14056129567325,0.0,0.0,0.0,0.0,0.0
-334.36690881848335,100,209.076833,-324.36690881848335,-5.0,0.0,-5.0,0.0,0.0
-443.78117088228464,100,210.691158,-432.78117088228464,-6.0,0.0,-5.0,0.0,0.0
-314.45956167951226,100,212.09899,-302.45956167951226,0.0,0.0,0.0,-6.0,-6.0
-449.14120161160827,100,213.541933,-417.14120161160827,-13.0,-8.0,-4.0,0.0,-7.0
-357.3927847854793,100,231.926046,-357.3927847854793,0.0,0.0,0.0,0.0,0.0
-304.81811462622136,100,233.670308,-286.81811462622136,-3.0,-5.0,-4.0,0.0,-6.0
-361.4210265353322,100,234.963357,-355.4210265353322,-4.0,-2.0,0.0,0.0,0.0
-343.09741019643843,100,236.339305,-329.09741019643843,0.0,0.0,-5.0,-9.0,0.0
-525.9523805007339,100,238.014932,-525.9523805007339,0.0,0.0,0.0,0.0,0.0
-341.41678086668253,100,239.358224,-333.41678086668253,0.0,0.0,0.0,-4.0,-4.0
-382.53157129045576,100,240.997778,-382.53157129045576,0.0,0.0,0.0,0.0,0.0
-381.3235902711749,100,242.403112,-381.3235902711749,0.0,0.0,0.0,0.0,0.0
-302.4031317513436,100,244.030255,-298.4031317513436,0.0,0.0,-2.0,-1.0,-1.0
-346.51854424457997,100,245.702388,-332.51854424457997,-7.0,-1.0,-3.0,0.0,-3.0
-327.71917724609375,100,264.379052,-323.71917724609375,-2.0,0.0,0.0,0.0,-2.0
-385.44941080361605,100,266.185166,-383.44941080361605,0.0,0.0,-1.0,-1.0,0.0
-305.4312594719231,100,267.518554,-295.4312594719231,0.0,-2.0,-5.0,0.0,-3.0
-312.5038880184293,100,268.987229,-303.5038880184293,0.0,-2.0,-7.0,0.0,0.0
-349.2726822793484,100,270.7133,-332.2726822793484,-2.0,-7.0,-7.0,-1.0,0.0
-403.7476072460413,100,272.273647,-397.7476072460413,-1.0,0.0,-1.0,-2.0,-2.0
-526.5505196154118,100,273.739075,-526.5505196154118,0.0,0.0,0.0,0.0,0.0
-914.0602182336152,100,275.376825,-912.0602182336152,0.0,0.0,0.0,-2.0,0.0
-391.31396294757724,100,276.76595,-383.31396294757724,0.0,0.0,-4.0,-2.0,-2.0
-832.9200763981789,100,278.418975,-827.9200763981789,0.0,-2.0,0.0,0.0,-3.0
-370.89872267469764,100,296.644936,-356.89872267469764,0.0,-8.0,-2.0,-2.0,-2.0
-448.2073490768671,100,298.292108,-439.2073490768671,-2.0,-3.0,-1.0,-3.0,0.0
-314.0991677585989,100,299.730021,-314.0991677585989,0.0,0.0,0.0,0.0,0.0
-319.50112676341087,100,301.312382,-311.50112676341087,0.0,0.0,0.0,-4.0,-4.0
-384.8495110832155,100,302.759963,-378.8495110832155,-2.0,0.0,-4.0,0.0,0.0
-346.3402093872428,100,304.378046,-344.3402093872428,0.0,-1.0,0.0,0.0,-1.0
-377.2380761317909,100,305.804534,-375.2380761317909,0.0,0.0,0.0,0.0,-2.0
-275.02074957545847,100,307.52401,-271.02074957545847,-2.0,0.0,-2.0,0.0,0.0
-503.58765120618045,100,308.855355,-495.58765120618045,0.0,-3.0,-5.0,0.0,0.0
-466.86960858106613,100,310.560648,-456.86960858106613,0.0,-5.0,0.0,0.0,-5.0
-325.30240873619914,100,329.521864,-315.30240873619914,0.0,0.0,-5.0,-4.0,-1.0
-285.73690391369746,100,331.346757,-258.73690391369746,-9.0,0.0,0.0,-9.0,-9.0
-310.76552944630384,100,332.75519,-302.76552944630384,0.0,-4.0,0.0,-2.0,-2.0
-546.7510003559291,100,334.429256,-542.7510003559291,0.0,-2.0,-2.0,0.0,0.0
-447.6136594898999,100,335.890294,-445.6136594898999,0.0,0.0,0.0,-1.0,-1.0
-795.1031047962606,100,337.47189,-795.1031047962606,0.0,0.0,0.0,0.0,0.0
-349.1777449250221,100,338.936707,-342.1777449250221,0.0,0.0,-4.0,-3.0,0.0
-445.29019371792674,100,340.561774,-441.29019371792674,-2.0,0.0,0.0,-2.0,0.0
-309.23928602878004,100,342.023613,-297.23928602878004,-4.0,0.0,0.0,-5.0,-3.0
-334.7917516939342,100,343.58757,-321.7917516939342,-6.0,-1.0,-6.0,0.0,0.0
-283.0366886947304,100,362.73304,-281.0366886947304,0.0,0.0,-2.0,0.0,0.0
-269.7801456153393,100,364.188237,-269.7801456153393,0.0,0.0,0.0,0.0,0.0
-341.52573090745136,100,365.745031,-337.52573090745136,-2.0,0.0,0.0,-2.0,0.0
-527.6784537062049,100,367.32416,-525.6784537062049,-1.0,-1.0,0.0,0.0,0.0
-483.6932167848572,100,368.874135,-473.6932167848572,0.0,-5.0,0.0,-5.0,0.0
-347.36331914924085,100,370.428656,-335.36331914924085,-3.0,-4.0,-3.0,-2.0,0.0
-337.97721503442153,100,371.980022,-337.97721503442153,0.0,0.0,0.0,0.0,0.0
