# {"t_start": 1593579329.380036, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-702.9745828919113,100,2.799121,-697.9745828919113,-1.0,0.0,0.0,0.0,-4.0
-305.1467625722289,100,4.041387,-305.1467625722289,0.0,0.0,0.0,0.0,0.0
-325.63607281818986,100,5.313909,-321.63607281818986,-2.0,-2.0,0.0,0.0,0.0
-773.8975609540939,100,6.556127,-773.8975609540939,0.0,0.0,0.0,0.0,0.0
-399.4683811329305,100,7.775332,-399.4683811329305,0.0,0.0,0.0,0.0,0.0
-569.8900505527854,100,9.01952,-569.8900505527854,0.0,0.0,0.0,0.0,0.0
-567.919874664396,100,10.204792,-567.919874664396,0.0,0.0,0.0,0.0,0.0
-256.717162492685,100,11.353173,-256.717162492685,0.0,0.0,0.0,0.0,0.0
-721.0249568875879,100,12.49433,-721.0249568875879,0.0,0.0,0.0,0.0,0.0
-364.52130005601794,100,13.656467,-360.52130005601794,0.0,0.0,-2.0,0.0,-2.0
-495.24620098620653,100,39.369847,-487.24620098620653,0.0,-1.0,-3.0,-2.0,-2.0
-663.2146539092064,100,40.425846,-641.2146539092064,-7.0,-2.0,0.0,-2.0,-11.0
-774.2439562380314,100,41.562705,-766.2439562380314,0.0,0.0,-1.0,-3.0,-4.0
-361.17980824317783,100,42.671314,-357.17980824317783,0.0,0.0,0.0,-2.0,-2.0
-761.6189331635833,100,43.79485,-713.6189331635833,-11.0,-12.0,-16.0,0.0,-9.0
-369.10557913733646,100,44.875994,-345.10557913733646,-4.0,-8.0,0.0,-4.0,-8.0
-489.77349521405995,100,45.925533,-473.77349521405995,-7.0,0.0,-4.0,-5.0,0.0
-270.90160161815584,100,47.047857,-262.90160161815584,0.0,-3.0,-1.0,0.0,-4.0
-330.3724475221243,100,48.915302,-316.3724475221243,-2.0,0.0,-4.0,-6.0,-2.0
-399.411661028862,100,50.858878,-397.411661028862,-1.0,0.0,0.0,0.0,-1.0
-393.6923441775143,100,66.922619,-359.6923441775143,0.0,-15.0,-4.0,-15.0,0.0
-355.0789424404502,100,68.037132,-349.0789424404502,0.0,-2.0,-2.0,-1.0,-1.0
-521.8336159978062,100,69.223155,-509.8336159978062,-5.0,-5.0,-2.0,0.0,0.0
