# {"t_start": 1593262298.7305777, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-354.52301232889295,100,2.756402,-354.52301232889295,0.0,0.0
-218.504981148988,100,3.493313,-218.504981148988,0.0,0.0
-237.14993485063314,100,4.206166,-237.14993485063314,0.0,0.0
-399.9388127774,100,4.931929,-399.9388127774,0.0,0.0
-246.14752714335918,100,5.645385,-246.14752714335918,0.0,0.0
-287.1468658503145,100,6.35672,-287.1468658503145,0.0,0.0
-368.53783820196986,100,7.059366,-368.53783820196986,0.0,0.0
-251.22696489095688,100,7.772043,-251.22696489095688,0.0,0.0
-321.584543839097,100,8.458789,-321.584543839097,0.0,0.0
-270.25562592595816,100,9.190396,-270.25562592595816,0.0,0.0
-173.93445291509852,100,52.41208,-173.93445291509852,0.0,0.0
-323.6956555098295,100,53.120591,-323.6956555098295,0.0,0.0
-491.5818541646004,100,53.789358,-490.5818541646004,0.0,-1.0
-317.99636447429657,100,54.49005,-317.99636447429657,0.0,0.0
-272.8544862847775,100,55.209754,-272.8544862847775,0.0,0.0
-202.78570495545864,100,55.920174,-200.78570495545864,0.0,-2.0
-347.9864823743701,100,56.593287,-345.9864823743701,0.0,-2.0
-316.6070673465729,100,57.290439,-316.6070673465729,0.0,0.0
-565.9200878292322,100,57.979531,-563.9200878292322,0.0,-2.0
-309.56613797694445,100,58.700141,-309.56613797694445,0.0,0.0
-268.72954373061657,100,87.922788,-268.72954373061657,0.0,0.0
-244.33630631119013,100,88.623274,-244.33630631119013,0.0,0.0
-231.5840953476727,100,89.337935,-231.5840953476727,0.0,0.0
-194.770431548357,100,90.013598,-194.770431548357,0.0,0.0
-334.5647325515747,100,90.70968,-334.5647325515747,0.0,0.0
-279.48494774103165,100,91.430155,-279.48494774103165,0.0,0.0
-396.2029417604208,100,92.135889,-396.2029417604208,0.0,0.0
-211.74430980999023,100,92.849893,-211.74430980999023,0.0,0.0
-281.6065860539675,100,93.563045,-279.6065860539675,-2.0,0.0
-222.60329328477383,100,94.266618,-222.60329328477383,0.0,0.0
-181.9415105767548,100,123.360487,-181.9415105767548,0.0,0.0
-226.5017832070589,100,124.05871,-224.5017832070589,0.0,-2.0
-221.14581712335348,100,124.737475,-221.14581712335348,0.0,0.0
-171.64470827952027,100,125.445239,-171.64470827952027,0.0,0.0
-170.24085444957018,100,126.122159,-169.24085444957018,0.0,-1.0
-188.47505889553577,100,126.798524,-184.47505889553577,0.0,-4.0
-185.62216570973396,100,127.486277,-185.62216570973396,0.0,0.0
-177.01385444402695,100,128.158787,-177.01385444402695,0.0,0.0
-293.40568748116493,100,128.870648,-293.40568748116493,0.0,0.0
-253.38766911020502,100,129.548926,-253.38766911020502,0.0,0.0
-231.3541469052434,100,157.83101,-231.3541469052434,0.0,0.0
-240.05060417950153,100,158.524542,-238.05060417950153,-1.0,-1.0
