# {"t_start": 1593291957.1367915, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-427.1391082108021,100,2.406605,-427.1391082108021,0.0,0.0
-191.63497377187014,100,3.11576,-191.63497377187014,0.0,0.0
-173.90453262254596,100,3.827096,-173.90453262254596,0.0,0.0
-323.3035227060318,100,4.513311,-323.3035227060318,0.0,0.0
-367.4623334556818,100,5.221635,-367.4623334556818,0.0,0.0
-328.20526284351945,100,5.960724,-328.20526284351945,0.0,0.0
-368.1475904583931,100,6.671901,-368.1475904583931,0.0,0.0
-284.7415190269239,100,7.402495,-284.7415190269239,0.0,0.0
-467.96066734194756,100,8.108874,-467.96066734194756,0.0,0.0
-212.54563610255718,100,8.796647,-212.54563610255718,0.0,0.0
-206.2146176546812,100,50.56395,-204.2146176546812,0.0,-2.0
-333.5448983348906,100,51.288345,-333.5448983348906,0.0,0.0
-318.5622442737222,100,52.038153,-316.5622442737222,-2.0,0.0
-234.26658465899527,100,52.767712,-234.26658465899527,0.0,0.0
-403.47610099613667,100,53.46456,-403.47610099613667,0.0,0.0
-187.93897163122892,100,54.16472,-187.93897163122892,0.0,0.0
-248.71023727953434,100,54.879014,-246.71023727953434,-2.0,0.0
-228.01405004411936,100,55.577556,-228.01405004411936,0.0,0.0
-357.4374369047582,100,56.279804,-357.4374369047582,0.0,0.0
-256.45179951004684,100,56.976501,-256.45179951004684,0.0,0.0
-222.6011704429984,100,85.607332,-222.6011704429984,0.0,0.0
-166.96106363646686,100,86.347006,-166.96106363646686,0.0,0.0
-331.82149746641517,100,87.063375,-329.82149746641517,-1.0,-1.0
-210.37509324401617,100,87.797784,-210.37509324401617,0.0,0.0
-353.80270341038704,100,88.500816,-353.80270341038704,0.0,0.0
-350.21833059191704,100,89.202921,-350.21833059191704,0.0,0.0
-279.53096763789654,100,89.936526,-279.53096763789654,0.0,0.0
-192.31849408894777,100,90.649008,-192.31849408894777,0.0,0.0
-313.8937640339136,100,91.351195,-313.8937640339136,0.0,0.0
-574.0042669177055,100,92.054761,-574.0042669177055,0.0,0.0
-213.1144958678633,100,120.506696,-213.1144958678633,0.0,0.0
-185.68052422255278,100,121.220065,-185.68052422255278,0.0,0.0
-239.26897343993187,100,121.92135,-239.26897343993187,0.0,0.0
-142.29973373189569,100,122.642754,-141.29973373189569,0.0,-1.0
-218.5293974429369,100,123.337337,-218.5293974429369,0.0,0.0
-362.6054603755474,100,124.065579,-362.6054603755474,0.0,0.0
-328.52546617388725,100,124.74262,-328.52546617388725,0.0,0.0
-240.3355514332652,100,125.441686,-238.3355514332652,-1.0,-1.0
-325.72534880042076,100,126.129927,-325.72534880042076,0.0,0.0
-196.15939677506685,100,126.814522,-196.15939677506685,0.0,0.0
-222.2888831347227,100,154.547668,-222.2888831347227,0.0,0.0
-210.14838049188256,100,155.264755,-210.14838049188256,0.0,0.0
-247.97884920984507,100,155.910432,-247.97884920984507,0.0,0.0
-172.6621403042227,100,156.600048,-172.6621403042227,0.0,0.0
-480.97610715031624,100,157.312766,-480.97610715031624,0.0,0.0
-200.35391759499907,100,158.022032,-200.35391759499907,0.0,0.0
-233.38735823333263,100,158.713964,-233.38735823333263,0.0,0.0
-229.99343189783394,100,159.423996,-229.99343189783394,0.0,0.0
-192.05241086520255,100,160.111722,-192.05241086520255,0.0,0.0
-150.42315574362874,100,160.770117,-150.42315574362874,0.0,0.0
-345.11361841484904,100,188.311438,-345.11361841484904,0.0,0.0
-157.9316008836031,100,189.011183,-157.9316008836031,0.0,0.0
-228.5798188894987,100,189.71052,-228.5798188894987,0.0,0.0
-372.8074475377798,100,190.404988,-366.8074475377798,0.0,-6.0
-253.6048805564642,100,191.104365,-252.6048805564642,0.0,-1.0
-260.7141517698765,100,191.806911,-259.7141517698765,0.0,-1.0
-200.39061809144914,100,192.491635,-198.39061809144914,0.0,-2.0
-316.2683507949114,100,193.182679,-316.2683507949114,0.0,0.0
-183.80032594222575,100,193.884351,-183.80032594222575,0.0,0.0
-330.09608140960336,100,194.571297,-323.09608140960336,0.0,-7.0
-193.1164217852056,100,222.261627,-193.1164217852056,0.0,0.0
-209.952700227499,100,222.910894,-209.952700227499,0.0,0.0
-147.84736985713243,100,223.596159,-147.84736985713243,0.0,0.0
-293.70288869552314,100,224.280949,-293.70288869552314,0.0,0.0
-321.33788534998894,100,224.934371,-321.33788534998894,0.0,0.0
-214.74775606952608,100,225.602592,-214.74775606952608,0.0,0.0
-238.66828247904778,100,226.320551,-238.66828247904778,0.0,0.0
-191.69706518948078,100,226.992241,-191.69706518948078,0.0,0.0
-250.1718089878559,100,227.668941,-249.1718089878559,0.0,-1.0
-175.01540721952915,100,228.343931,-175.01540721952915,0.0,0.0
-210.30714331939816,100,255.623474,-208.30714331939816,-2.0,0.0
-188.55980493687093,100,256.318372,-188.55980493687093,0.0,0.0
-254.32519264146686,100,256.999887,-254.32519264146686,0.0,0.0
-223.09970228001475,100,257.69566,-219.09970228001475,-2.0,-2.0
-233.09360794723034,100,258.423671,-233.09360794723034,0.0,0.0
-284.86349411308765,100,259.114735,-284.86349411308765,0.0,0.0
-202.29620447009802,100,259.768797,-202.29620447009802,0.0,0.0
-314.9793637879193,100,260.461212,-314.9793637879193,0.0,0.0
-256.03258266299963,100,261.180444,-256.03258266299963,0.0,0.0
-254.81912690214813,100,261.826232,-254.81912690214813,0.0,0.0
-234.68261505663395,100,289.636979,-234.68261505663395,0.0,0.0
-246.13930260390043,100,290.32272,-246.13930260390043,0.0,0.0
-173.98379930108786,100,291.026942,-173.98379930108786,0.0,0.0
-176.61706069856882,100,291.700914,-175.61706069856882,0.0,-1.0
-177.1793003641069,100,292.372627,-177.1793003641069,0.0,0.0
-208.773829780519,100,293.063172,-207.773829780519,-1.0,0.0
-139.61441966705024,100,293.78415,-135.61441966705024,-2.0,-2.0
-181.86687695235014,100,294.482028,-181.86687695235014,0.0,0.0
-264.40307445824146,100,295.176088,-264.40307445824146,0.0,0.0
-246.89334934949875,100,295.892001,-237.89334934949875,-5.0,-4.0
-145.58081150241196,100,323.954025,-145.58081150241196,0.0,0.0
-241.28471227362752,100,324.660864,-232.28471227362752,-3.0,-6.0
-216.30478033423424,100,325.330794,-216.30478033423424,0.0,0.0
-176.3613552749157,100,326.050044,-176.3613552749157,0.0,0.0
-221.992549713701,100,326.731571,-218.992549713701,-2.0,-1.0
-304.27202478051186,100,327.452458,-304.27202478051186,0.0,0.0
-201.85346487164497,100,328.183834,-201.85346487164497,0.0,0.0
-183.915921702981,100,328.884177,-183.915921702981,0.0,0.0
-131.4225282780826,100,329.579157,-131.4225282780826,0.0,0.0
-244.7022023499012,100,330.276289,-244.7022023499012,0.0,0.0
-152.26247168332338,100,358.01473,-152.26247168332338,0.0,0.0
-129.16019838303328,100,358.706573,-125.16019838303328,-2.0,-2.0
-208.99828436411917,100,359.403836,-204.99828436411917,0.0,-4.0
-215.91922314837575,100,360.103443,-215.91922314837575,0.0,0.0
-194.46885890513659,100,360.822829,-192.46885890513659,-1.0,-1.0
-133.47006782889366,100,361.518956,-133.47006782889366,0.0,0.0
-182.75045177713037,100,362.221794,-182.75045177713037,0.0,0.0
-148.1121860165149,100,362.939332,-144.1121860165149,-2.0,-2.0
-160.06150735728443,100,363.637159,-158.06150735728443,0.0,-2.0
-170.45221242681146,100,364.348964,-170.45221242681146,0.0,0.0
-288.2120439861901,100,392.66937,-288.2120439861901,0.0,0.0
-258.72391337156296,100,393.345404,-258.72391337156296,0.0,0.0
-177.02922554966062,100,394.051921,-175.02922554966062,-2.0,0.0
-218.13231456279755,100,394.767772,-217.13231456279755,-1.0,0.0
-192.98011226579547,100,395.480083,-192.98011226579547,0.0,0.0
-136.64458645507693,100,396.174759,-130.64458645507693,-3.0,-3.0
-174.33918271958828,100,396.889261,-174.33918271958828,0.0,0.0
-179.6594401523471,100,397.586758,-175.6594401523471,0.0,-4.0
-173.98597090691328,100,398.273186,-173.98597090691328,0.0,0.0
-203.20822122693062,100,398.999424,-203.20822122693062,0.0,0.0
-176.78679666668177,100,427.65396,-176.78679666668177,0.0,0.0
-213.4408128298819,100,428.347851,-212.4408128298819,0.0,-1.0
-220.70734382420778,100,429.028853,-220.70734382420778,0.0,0.0
-185.95276407897472,100,429.736579,-180.95276407897472,0.0,-5.0
-257.16391883790493,100,430.430035,-254.16391883790493,-3.0,0.0
-127.33357824198902,100,431.101373,-127.33357824198902,0.0,0.0
-201.22579009085894,100,431.815094,-190.22579009085894,-3.0,-8.0
-135.9177272822708,100,432.505877,-135.9177272822708,0.0,0.0
-133.1694447249174,100,433.207168,-131.1694447249174,0.0,-2.0
-175.76424899697304,100,433.896999,-175.76424899697304,0.0,0.0
-168.8798489794135,100,461.581998,-168.8798489794135,0.0,0.0
-194.43497839570045,100,462.275346,-191.43497839570045,-3.0,0.0
-167.204494766891,100,462.986167,-166.204494766891,-1.0,0.0
-138.20713984780014,100,463.667426,-138.20713984780014,0.0,0.0
-157.33112187497318,100,464.359616,-153.33112187497318,-4.0,0.0
-192.90591505169868,100,465.040291,-192.90591505169868,0.0,0.0
-134.45245108380914,100,465.727617,-129.45245108380914,-5.0,0.0
-128.83759818971157,100,466.457331,-128.83759818971157,0.0,0.0
-164.54305758699775,100,467.167912,-158.54305758699775,-3.0,-3.0
