# {"t_start": 1593315293.5426936, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-374.1847068965435,100,2.199048,-374.1847068965435,0.0,0.0
-428.54613264650106,100,2.751229,-428.54613264650106,0.0,0.0
-254.8350005671382,100,3.265562,-254.8350005671382,0.0,0.0
-310.35315738618374,100,3.748709,-310.35315738618374,0.0,0.0
-348.5468383412808,100,4.25076,-348.5468383412808,0.0,0.0
-169.86394925415516,100,4.783958,-169.86394925415516,0.0,0.0
-222.82106182258576,100,5.313542,-222.82106182258576,0.0,0.0
-204.364762917161,100,5.836334,-204.364762917161,0.0,0.0
-392.86614760011435,100,6.39252,-392.86614760011435,0.0,0.0
-411.61931790784,100,6.915856,-411.61931790784,0.0,0.0
-498.453570112586,100,20.625117,-498.453570112586,0.0,0.0
-501.67142456769943,100,21.187938,-489.67142456769943,-3.0,-9.0
-184.12423929572105,100,21.748005,-183.12423929572105,-1.0,0.0
-230.22224129736423,100,22.318574,-230.22224129736423,0.0,0.0
-230.96875769644976,100,22.882957,-230.96875769644976,0.0,0.0
-243.9871200621128,100,23.380082,-243.9871200621128,0.0,0.0
-271.096079736948,100,23.869159,-268.096079736948,-1.0,-2.0
-421.64410109072924,100,24.379917,-409.64410109072924,-6.0,-6.0
-453.01924772560596,100,24.853975,-439.01924772560596,-7.0,-7.0
-204.37816750910133,100,25.338805,-204.37816750910133,0.0,0.0
-278.30995662510395,100,32.369854,-276.30995662510395,0.0,-2.0
-312.2503623664379,100,32.916627,-312.2503623664379,0.0,0.0
-290.57087894529104,100,33.43482,-290.57087894529104,0.0,0.0
-313.2357378974557,100,33.964761,-313.2357378974557,0.0,0.0
-330.36515763029456,100,34.545171,-330.36515763029456,0.0,0.0
-165.38134559988976,100,35.049785,-165.38134559988976,0.0,0.0
-208.97602574527264,100,35.544893,-208.97602574527264,0.0,0.0
-656.9315902888775,100,36.028846,-656.9315902888775,0.0,0.0
-242.06287710368633,100,36.519553,-240.06287710368633,0.0,-2.0
-251.81443832814693,100,37.017659,-239.81443832814693,-12.0,0.0
-201.55877350270748,100,44.045697,-199.55877350270748,-2.0,0.0
-244.45386783964932,100,44.585419,-240.45386783964932,-2.0,-2.0
-302.1341270878911,100,45.137979,-302.1341270878911,0.0,0.0
-304.97679559886456,100,45.644781,-304.97679559886456,0.0,0.0
-460.6265906095505,100,46.208383,-460.6265906095505,0.0,0.0
-301.55627977848053,100,46.750545,-301.55627977848053,0.0,0.0
-200.49620774574578,100,47.229783,-198.49620774574578,-2.0,0.0
-126.55274113826454,100,47.723401,-126.55274113826454,0.0,0.0
-256.04758378863335,100,48.21172,-254.04758378863335,0.0,-2.0
-142.45798837393522,100,48.717238,-141.45798837393522,-1.0,0.0
-250.5495674610138,100,55.737125,-250.5495674610138,0.0,0.0
-137.97945440001786,100,56.244768,-137.97945440001786,0.0,0.0
-298.27686539292336,100,56.749256,-298.27686539292336,0.0,0.0
-309.48910826444626,100,57.274006,-309.48910826444626,0.0,0.0
-202.92601933330297,100,57.790079,-202.92601933330297,0.0,0.0
-165.80965458601713,100,58.399285,-165.80965458601713,0.0,0.0
-187.36636202037334,100,58.856333,-187.36636202037334,0.0,0.0
-253.94210109114647,100,59.442796,-253.94210109114647,0.0,0.0
-267.79445749521255,100,59.947658,-267.79445749521255,0.0,0.0
-262.91127018630505,100,60.435701,-262.91127018630505,0.0,0.0
-221.3547521829605,100,68.450276,-217.3547521829605,0.0,-4.0
-232.708327755332,100,69.273412,-232.708327755332,0.0,0.0
-281.4637049585581,100,70.505585,-276.4637049585581,-5.0,0.0
-207.46829214692116,100,71.198732,-207.46829214692116,0.0,0.0
-243.48641647398472,100,71.813164,-243.48641647398472,0.0,0.0
-201.4745012409985,100,72.271272,-201.4745012409985,0.0,0.0
-220.88030061870813,100,72.742101,-220.88030061870813,0.0,0.0
-203.92076845094562,100,73.242156,-201.92076845094562,-2.0,0.0
-275.1287634074688,100,73.798391,-268.1287634074688,-4.0,-3.0
-189.05987679958344,100,74.32129,-187.05987679958344,-2.0,0.0
-172.42567985504866,100,81.939072,-172.42567985504866,0.0,0.0
-205.1195284286514,100,82.402772,-201.1195284286514,-2.0,-2.0
-156.51697106286883,100,82.846698,-156.51697106286883,0.0,0.0
-215.9034009501338,100,83.291891,-213.9034009501338,-2.0,0.0
-276.00455716997385,100,83.851224,-262.00455716997385,-4.0,-10.0
-187.92543929070234,100,84.41093,-185.92543929070234,-2.0,0.0
-223.88060550391674,100,84.888151,-223.88060550391674,0.0,0.0
-167.30710103549063,100,85.393836,-167.30710103549063,0.0,0.0
-187.6042450275272,100,85.912234,-180.6042450275272,0.0,-7.0
-208.38924530893564,100,86.415371,-208.38924530893564,0.0,0.0
-206.53571135550737,100,94.311213,-206.53571135550737,0.0,0.0
-159.29433470964432,100,94.821479,-155.29433470964432,0.0,-4.0
-137.09224745817482,100,95.33667,-137.09224745817482,0.0,0.0
-226.1932551637292,100,95.844845,-222.1932551637292,-4.0,0.0
-216.31855387985706,100,96.48207,-216.31855387985706,0.0,0.0
-178.88840433070436,100,97.061239,-172.88840433070436,-3.0,-3.0
-160.82476055063307,100,97.600656,-159.82476055063307,0.0,-1.0
-177.67646289244294,100,98.097026,-171.67646289244294,-2.0,-4.0
-297.9384093284607,100,98.588474,-296.9384093284607,-1.0,0.0
-205.72016083076596,100,99.088785,-199.72016083076596,-4.0,-2.0
-205.19122219551355,100,106.964777,-205.19122219551355,0.0,0.0
-238.4373349249363,100,107.495687,-238.4373349249363,0.0,0.0
-201.0139187462628,100,107.993383,-198.0139187462628,0.0,-3.0
-136.15125605417415,100,108.535001,-130.15125605417415,-4.0,-2.0
-261.8074260354042,100,109.177519,-260.8074260354042,-1.0,0.0
-192.78745357319713,100,109.73194,-192.78745357319713,0.0,0.0
-96.81465095374733,100,110.260693,-96.81465095374733,0.0,0.0
-229.58224460482597,100,110.759898,-229.58224460482597,0.0,0.0
-197.5110334828496,100,111.283718,-185.5110334828496,-5.0,-7.0
-232.32643919996917,100,111.829225,-229.32643919996917,0.0,-3.0
-187.38634315133095,100,119.978747,-187.38634315133095,0.0,0.0
-216.8517078012228,100,120.534963,-214.8517078012228,0.0,-2.0
-210.2669878602028,100,121.082252,-210.2669878602028,0.0,0.0
-212.53035523742437,100,121.888637,-212.53035523742437,0.0,0.0
-131.87729012966156,100,123.087675,-130.87729012966156,0.0,-1.0
-210.18246461451054,100,124.495394,-210.18246461451054,0.0,0.0
-278.2719375193119,100,125.772265,-278.2719375193119,0.0,0.0
-225.04835104942322,100,126.592467,-225.04835104942322,0.0,0.0
-286.9622171446681,100,127.094345,-280.9622171446681,-2.0,-4.0
-232.43235656619072,100,127.582505,-232.43235656619072,0.0,0.0
