# {"t_start": 1594485937.9797716, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5,r6
8,100,756.140702,0,4,0,0,4,0,0
12,100,759.965966,0,0,0,0,12,0,0
4,100,763.700987,0,0,5,0,-1,0,0
14,100,767.43867,9,0,1,1,3,0,0
0,100,771.17065,0,0,0,0,0,0,0
12,100,775.084888,1,2,0,0,9,0,0
27,100,778.844269,2,0,0,1,24,0,0
15,100,782.674544,0,2,0,1,12,0,0
5,100,801.1541,16,5,0,0,-16,0,0
19,100,805.005092,25,0,0,8,-14,0,0
29,100,808.918327,1,0,0,0,28,0,0
0,100,812.632997,0,0,0,0,0,0,0
13,100,816.423184,1,1,0,0,11,0,0
-8,100,820.25921,4,0,4,5,-21,0,0
24,100,823.989003,1,1,1,0,21,0,0
10,100,827.749815,4,1,2,0,3,0,0
18,100,831.648236,10,0,0,0,8,0,0
0,100,835.512315,8,2,0,0,-10,0,0
3,100,853.755541,0,0,0,0,3,0,0
-2,100,857.419654,0,1,0,1,-4,0,0
-3,100,861.076189,0,3,0,0,-6,0,0
10,100,864.867048,12,2,2,4,-10,0,0
-2,100,868.718593,0,0,0,2,-4,0,0
-1,100,872.452405,8,0,0,3,-12,0,0
42,100,876.061175,0,0,1,2,39,0,0
-7,100,879.886105,1,0,6,0,-14,0,0
16,100,883.632656,0,0,2,0,14,0,0
7,100,887.546693,0,0,5,0,2,0,0
9,100,905.932691,12,3,0,0,-6,0,0
-3,100,909.370995,5,3,0,0,-11,0,0
-3,100,912.86561,0,0,3,0,-6,0,0
-14,100,916.525926,0,8,6,0,-28,0,0
48,100,920.154462,16,4,0,0,28,0,0
8,100,924.073413,5,0,0,1,2,0,0
14,100,927.683639,10,0,5,5,-6,0,0
-5,100,931.346135,10,1,0,4,-20,0,0
0,100,935.052649,0,0,0,3,-3,0,0
2,100,938.86885,0,2,2,3,-5,0,0
0,100,957.426583,0,0,0,0,0,0,0
5,100,961.150472,0,0,0,1,4,0,0
-3,100,964.819952,0,3,0,0,-6,0,0
0,100,968.323561,0,0,0,0,0,0,0
41,100,971.963685,19,1,0,1,20,0,0
-1,100,975.636542,8,2,1,0,-12,0,0
-7,100,979.331138,0,0,3,4,-14,0,0
-2,100,983.032421,12,0,0,0,-14,0,0
75,100,986.755857,0,0,0,0,75,0,0
0,100,990.608391,14,0,0,1,-15,0,0
7,100,1009.243235,2,0,2,1,2,0,0
6,100,1013.004675,0,0,0,0,6,0,0
36,100,1016.807984,0,0,0,0,36,0,0
0,100,1020.436402,16,4,0,0,-20,0,0
69,100,1023.832819,14,4,1,2,48,0,0
7,100,1027.540223,11,2,2,0,-8,0,0
47,100,1031.059617,8,1,0,0,38,0,0
3,100,1034.699712,29,1,9,2,-38,0,0
-1,100,1038.568641,3,0,0,4,-8,0,0
14,100,1042.400982,0,1,0,0,13,0,0
12,100,1060.933716,0,0,0,3,9,0,0
-4,100,1064.753441,10,0,2,2,-18,0,0
6,100,1068.440658,8,3,2,0,-7,0,0
-6,100,1072.392129,18,2,5,1,-32,0,0
20,100,1076.136431,6,2,4,0,8,0,0
14,100,1079.482179,4,2,0,0,8,0,0
3,100,1082.851196,1,0,1,1,0,0,0
22,100,1086.314321,0,2,0,0,20,0,0
-10,100,1089.763386,0,1,5,4,-20,0,0
-14,100,1093.247495,11,0,1,7,-33,0,0
-9,100,1112.04344,20,0,1,8,-38,0,0
48,100,1115.456379,7,3,0,4,34,0,0
-2,100,1118.781156,4,0,3,0,-9,0,0
3,100,1122.472439,4,0,1,0,-2,0,0
-1,100,1126.105885,5,0,0,1,-7,0,0
7,100,1130.078522,11,4,0,3,-11,0,0
-4,100,1133.943105,12,2,3,2,-23,0,0
3,100,1137.698888,0,0,3,0,0,0,0
6,100,1141.522621,9,0,1,0,-4,0,0
-4,100,1145.310645,0,0,4,0,-8,0,0
0,100,1190.705135,20,0,0,0,-20,0,0
28,100,1194.671179,2,0,0,0,26,0,0
60,100,1198.59055,0,0,0,3,57,0,0
12,100,1202.439814,16,0,0,4,-8,0,0
-2,100,1206.129716,0,0,0,2,-4,0,0
39,100,1209.921969,7,1,0,3,28,0,0
16,100,1213.761123,0,1,7,0,8,0,0
