# {"t_start": 1594780685.7433157, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5,r6
-33.934690447453896,100,7.946539,-7.5148899676605785,-5.740956168448406,-7.336391746415628,-4.211493200540159,-2.483469939160807,-2.4605348219008922,-4.186954603327423
-26.383718675967035,100,13.181836,4.892749539713644,-5.429843133951968,1.7280773902985216,-4.160888598199102,-18.914868540475048,-1.9606480807656623,-2.538297252587419
-26.135717876758168,100,18.485376,37.23275950579008,35.96489113441401,-0.9487630021990558,11.32200663123508,-59.3704964083564,-44.80807412292204,-5.528041614719843
-30.53572030415303,100,23.811423,-6.189782421344126,23.950596085345282,-5.662256740918839,-3.8765273417054322,-4.678256879878674,-5.9710528760101305,-28.10844012964111
-17.368108837926187,100,29.060088,39.56186253712536,1.1562260694278232,1.0533131550041759,-12.800045716987597,-37.45527522774335,-7.97865833955528,-0.9055313151973152
-41.2864806006722,100,88.893876,-9.11096703041449,2.391065253007296,0.34744852516342495,3.9763161284727073,-14.721893286281022,-2.6110009902442997,-21.557449200375817
-43.28128432836387,100,94.112135,14.522285991144917,-8.111445576931658,-0.861840249515674,3.343830370742383,-39.34642824995019,-5.61280280609527,-7.21488380775838
-38.52282099458892,100,99.177151,-4.74664182966407,-0.2169717553647109,-8.741565717866237,-11.195726497096524,-4.80624413502576,-4.0997679454633,-4.715903114108314
-32.37807073989169,100,104.398971,4.944261917662261,-4.329626023930364,-4.550186631935754,-5.291281935515804,-5.0668981300414675,-3.4298046743429875,-14.654535261787576
-32.064724607838286,100,109.42393,-3.6392838488088164,-4.473804927196107,-4.708581413067231,6.209504321328972,-8.188846869312354,-3.486674758936179,-13.777037111846568
-48.708407205352,100,132.960388,-0.4104249322438064,-6.897320815032967,-10.751910839156844,-7.97401589546682,-13.868436177041525,-4.62310939496222,-4.183189151447819
-36.970159003555175,100,138.142934,22.7117863417159,-1.6106146726056523,-4.017806318843129,-8.406251582994622,-33.13400051691445,-6.718709914940661,-5.7945623389725585
-39.034000843011896,100,143.108169,3.410840796198695,-4.871655330981874,-2.924402608219546,-13.793052248475066,-12.807549364924867,-0.6629473525065653,-7.385234734102674
-24.032272126577954,100,148.190899,-6.5092464333034785,-0.2550175472265133,1.1219229157879962,-7.741573617231282,-3.6409656878970975,-7.015510198125568,0.008118441417987034
-33.39174894156725,100,153.405813,3.038308284850852,-12.77608401680698,6.003170463384306,-11.016541139537127,-7.071047046133414,-3.836555040778364,-7.733000446546528
19.68854057930621,100,176.870233,5.763085815938551,-8.930558273890021,-0.4699029587848322,20.65305838391538,-17.667116343680355,24.071634165886884,-3.731660210079393
-34.439497921267645,100,181.855741,-6.9338691935135826,-5.374859285712417,-1.0323829903872483,-13.233084527001706,-13.531666755525503,-2.2647984442011606,7.931163275073969
-24.46662624639665,100,187.03254,-7.662560779658721,-7.252967275998818,-7.156240046697104,-2.1325045166956755,-1.4987272589684209,1.8255949373985796,-0.58922130577649
-37.19437529217799,100,191.974831,-4.022829404719566,0.050806381584936916,-10.270162759480614,-8.182505134892345,-7.602635521673267,-4.904822510648488,-2.262226342348639
-39.674627704110314,100,197.05985,-6.845978988958752,-7.222412006164972,-7.032819102916222,-2.346486974628634,-3.7962528823682833,-3.513824575456802,-8.916853173616651
-35.737607109130856,100,220.108563,0.4690915141575218,0.6162200742627539,-8.674369372002452,-7.703820926457191,-13.458762328386817,-3.782850735490621,-3.203115335214048
-39.206828112618346,100,225.082123,-6.462422136358246,-7.522576607440346,-6.788140945967436,-10.393930241844355,-2.7813297963788894,-2.784934932740326,-2.4734934518887473
-31.294505265560666,100,230.127545,-10.071835078502577,-6.775140330010521,-8.192931031125083,-7.369012405934302,-2.7524937011683623,6.684332846390522,-2.8174255652103457
-23.151902421513814,100,235.084546,-1.9317439459480765,-4.47618598811449,-5.485584788296116,-4.704916572892856,-3.23997712886829,0.10200788638655399,-3.415501883780542
-29.011417966546695,100,240.263756,12.39834881405367,-8.038432925297391,0.6786581267592409,-5.4021879103659876,-18.977818617863093,-3.8288901616388427,-5.841095292194294
-39.90115715878885,100,262.58803,-9.658728861668827,-5.653073364516911,-10.2556953428263,-0.4029500193434224,-3.602786949859725,-3.516587442380305,-6.811335178193357
-45.2941168064398,100,267.63885,-9.289885196206155,-11.177983172847467,-11.339996019601733,-5.549707649623428,-2.8197145471408733,-2.4607117636129017,-2.656118457407244
-46.48780545220988,100,272.700945,-5.3266221285139315,-5.289225774967795,-6.633502439987978,-8.171804341443973,-9.230797432880673,-6.320634196009131,-5.515219138406397
-29.590517392417457,100,277.759114,-4.3582178104226985,-6.9357416601555775,-8.367811061724561,-0.42830551914851034,-4.176226153211715,-2.8718279405703595,-2.4523872471840362
-34.96533806245944,100,282.794584,-10.218502703078475,-9.340862796033468,0.17697087959213076,-4.755164421941434,-2.070439205841232,-2.1216021782527457,-6.6357376369042145
-33.43976367469069,100,306.264507,-5.899426408448881,-4.885138907582296,-7.433374336606919,-6.6014984719031675,-2.8908423915347363,-3.3922524861177834,-2.3372306724969056
-41.027894108824654,100,311.409202,-5.222070367094961,-11.54887754977512,-4.818361257363371,-8.751473276903829,-3.524402622498925,-3.8669816524802894,-3.2957273827081583
