# {"t_start": 1593497534.2467039, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-719.6083483695984,100,3.120674,-719.6083483695984,0.0,0.0
-254.73433316498995,100,3.904506,-254.73433316498995,0.0,0.0
-214.92019090801477,100,4.593138,-214.92019090801477,0.0,0.0
-339.07665103301406,100,5.560884,-339.07665103301406,0.0,0.0
-255.1331266015768,100,6.553085,-255.1331266015768,0.0,0.0
-305.80644476413727,100,7.430202,-305.80644476413727,0.0,0.0
-402.3778652250767,100,8.374466,-402.3778652250767,0.0,0.0
-322.1789745390415,100,9.230017,-322.1789745390415,0.0,0.0
-208.6252555642277,100,10.046105,-208.6252555642277,0.0,0.0
-237.09336682781577,100,11.022026,-237.09336682781577,0.0,0.0
-367.17706640437245,100,19.745253,-367.17706640437245,0.0,0.0
-229.8512078523636,100,20.701694,-229.8512078523636,0.0,0.0
-214.5791556108743,100,22.33908,-214.5791556108743,0.0,0.0
-233.95920157432556,100,23.985856,-233.95920157432556,0.0,0.0
-239.46580731123686,100,25.709523,-239.46580731123686,0.0,0.0
-302.20596757531166,100,26.792855,-302.20596757531166,0.0,0.0
-144.6408518254757,100,27.696428,-144.6408518254757,0.0,0.0
-339.5484515801072,100,28.435567,-339.5484515801072,0.0,0.0
-388.2643482387066,100,29.263066,-388.2643482387066,0.0,0.0
-291.2552040684968,100,30.384499,-291.2552040684968,0.0,0.0
-236.23864752613008,100,34.711456,-236.23864752613008,0.0,0.0
-324.2643160521984,100,35.734135,-324.2643160521984,0.0,0.0
-497.1925094425678,100,36.806313,-497.1925094425678,0.0,0.0
-150.07834231853485,100,37.759595,-150.07834231853485,0.0,0.0
-370.5985095798969,100,38.567653,-370.5985095798969,0.0,0.0
-204.376949518919,100,39.367042,-204.376949518919,0.0,0.0
-213.87047190591693,100,40.107779,-213.87047190591693,0.0,0.0
-186.9845193065703,100,40.85153,-186.9845193065703,0.0,0.0
-186.8283534012735,100,41.674357,-186.8283534012735,0.0,0.0
-169.13305626716465,100,42.926208,-169.13305626716465,0.0,0.0
-236.0403045192361,100,46.767125,-236.0403045192361,0.0,0.0
-203.41881994903088,100,47.507201,-203.41881994903088,0.0,0.0
-256.9260804206133,100,48.315051,-256.9260804206133,0.0,0.0
-207.88195338845253,100,49.086334,-207.88195338845253,0.0,0.0
-163.51854221709073,100,49.960592,-163.51854221709073,0.0,0.0
-172.2528166770935,100,50.910879,-172.2528166770935,0.0,0.0
-146.02934502065182,100,51.713043,-146.02934502065182,0.0,0.0
-201.38914238661528,100,52.472073,-201.38914238661528,0.0,0.0
-265.8707251306623,100,53.240951,-265.8707251306623,0.0,0.0
-224.89959760010242,100,54.373782,-224.89959760010242,0.0,0.0
-171.12820414453745,100,58.429879,-171.12820414453745,0.0,0.0
-280.72038151323795,100,59.506275,-280.72038151323795,0.0,0.0
-228.8245320431888,100,60.37116,-228.8245320431888,0.0,0.0
-181.5422976752743,100,61.352425,-181.5422976752743,0.0,0.0
-172.57181824743748,100,62.245558,-172.57181824743748,0.0,0.0
-252.78939491137862,100,63.124993,-252.78939491137862,0.0,0.0
-215.69045209418982,100,63.924593,-215.69045209418982,0.0,0.0
-231.17218580842018,100,64.699622,-231.17218580842018,0.0,0.0
-273.8550377190113,100,65.438341,-273.8550377190113,0.0,0.0
-228.63213140517473,100,66.501892,-228.63213140517473,0.0,0.0
-178.72779649868608,100,70.416725,-178.72779649868608,0.0,0.0
-122.64782700687647,100,71.427396,-122.64782700687647,0.0,0.0
-166.9523265361786,100,72.375893,-166.9523265361786,0.0,0.0
-167.5796381738037,100,73.295436,-167.5796381738037,0.0,0.0
-102.88650682382286,100,74.21676,-102.88650682382286,0.0,0.0
-149.94637902081013,100,75.065485,-149.94637902081013,0.0,0.0
-252.249528715387,100,75.836808,-252.249528715387,0.0,0.0
-236.19567004591227,100,76.583107,-236.19567004591227,0.0,0.0
-172.42280001938343,100,77.340292,-172.42280001938343,0.0,0.0
-139.07561101019382,100,78.42474,-139.07561101019382,0.0,0.0
-175.08782424405217,100,82.474875,-175.08782424405217,0.0,0.0
-229.44632402062416,100,83.457821,-229.44632402062416,0.0,0.0
-159.66921528615057,100,84.527202,-159.66921528615057,0.0,0.0
-154.69822281599045,100,85.382257,-154.69822281599045,0.0,0.0
-141.2306720726192,100,86.300408,-141.2306720726192,0.0,0.0
-140.5253461971879,100,87.187829,-140.5253461971879,0.0,0.0
-139.20552407903597,100,87.945744,-139.20552407903597,0.0,0.0
-162.11141626164317,100,88.724465,-162.11141626164317,0.0,0.0
-195.94186121225357,100,89.495435,-195.94186121225357,0.0,0.0
-159.57804685086012,100,90.504418,-159.57804685086012,0.0,0.0
-93.66553388349712,100,94.519109,-93.66553388349712,0.0,0.0
-145.82532060146332,100,95.52169,-145.82532060146332,0.0,0.0
-183.43801428377628,100,96.552662,-183.43801428377628,0.0,0.0
-179.29389171302319,100,97.458449,-179.29389171302319,0.0,0.0
-180.66271855682135,100,98.379085,-180.66271855682135,0.0,0.0
-197.09180420450866,100,99.237012,-197.09180420450866,0.0,0.0
-92.34287384338677,100,100.248978,-92.34287384338677,0.0,0.0
-157.40859408304095,100,100.970456,-157.40859408304095,0.0,0.0
-106.74350679665804,100,101.709642,-106.74350679665804,0.0,0.0
-139.53988274931908,100,102.469547,-139.53988274931908,0.0,0.0
-151.56282521784306,100,106.641507,-151.56282521784306,0.0,0.0
-148.1604171730578,100,107.519398,-148.1604171730578,0.0,0.0
-169.15667057409883,100,108.475487,-169.15667057409883,0.0,0.0
-132.23093674704432,100,109.525899,-132.23093674704432,0.0,0.0
-116.68281427398324,100,110.453547,-116.68281427398324,0.0,0.0
-134.85624763555825,100,111.278439,-134.85624763555825,0.0,0.0
-151.91895019821823,100,112.13283,-151.91895019821823,0.0,0.0
-137.15306873992085,100,112.906715,-137.15306873992085,0.0,0.0
-122.79003141820431,100,113.674404,-122.79003141820431,0.0,0.0
-116.75498441513628,100,114.420839,-116.75498441513628,0.0,0.0
-130.34401080012321,100,118.49645,-130.34401080012321,0.0,0.0
-165.43767715990543,100,119.400719,-165.43767715990543,0.0,0.0
-217.60427460819483,100,120.25501,-217.60427460819483,0.0,0.0
-78.78314720094204,100,121.287324,-78.78314720094204,0.0,0.0
-137.03805451840162,100,122.217971,-137.03805451840162,0.0,0.0
-226.42949014902115,100,123.091875,-226.42949014902115,0.0,0.0
-158.13408835045993,100,123.942388,-158.13408835045993,0.0,0.0
-143.8069327697158,100,124.742806,-143.8069327697158,0.0,0.0
-165.12201972305775,100,125.43359,-165.12201972305775,0.0,0.0
-110.04467469733208,100,126.210267,-110.04467469733208,0.0,0.0
-181.27692225202918,100,130.180521,-181.27692225202918,0.0,0.0
-146.19891414791346,100,131.054013,-146.19891414791346,0.0,0.0
-214.611885715276,100,131.938702,-214.611885715276,0.0,0.0
-219.2088464461267,100,132.908287,-219.2088464461267,0.0,0.0
-136.14255264028907,100,133.800462,-136.14255264028907,0.0,0.0
-107.87896091490984,100,134.606867,-107.87896091490984,0.0,0.0
-156.13300680927932,100,135.491682,-156.13300680927932,0.0,0.0
-86.38273394480348,100,136.441474,-86.38273394480348,0.0,0.0
-135.21950760483742,100,137.239686,-135.21950760483742,0.0,0.0
-156.6563329771161,100,138.032812,-156.6563329771161,0.0,0.0
-108.12493562325835,100,141.894876,-108.12493562325835,0.0,0.0
-123.04371851868927,100,142.629793,-123.04371851868927,0.0,0.0
-103.02956268098205,100,143.369055,-103.02956268098205,0.0,0.0
-163.20062474627048,100,144.167697,-163.20062474627048,0.0,0.0
-131.69716964662075,100,145.054597,-131.69716964662075,0.0,0.0
-149.2493950985372,100,146.020368,-149.2493950985372,0.0,0.0
-148.81258556991816,100,146.980968,-148.81258556991816,0.0,0.0
-150.3304530493915,100,147.871962,-150.3304530493915,0.0,0.0
-98.54167694970965,100,148.664008,-98.54167694970965,0.0,0.0
-227.071682035923,100,149.431236,-227.071682035923,0.0,0.0
-90.09027160611004,100,153.553273,-90.09027160611004,0.0,0.0
-188.03759133815765,100,154.328333,-188.03759133815765,0.0,0.0
-213.98341090977192,100,155.130423,-213.98341090977192,0.0,0.0
-128.44332326203585,100,155.994858,-128.44332326203585,0.0,0.0
-193.21018686890602,100,157.063547,-193.21018686890602,0.0,0.0
-126.80087926983833,100,158.048291,-126.80087926983833,0.0,0.0
-138.062894647941,100,158.874535,-138.062894647941,0.0,0.0
-277.61684666574,100,159.676872,-277.61684666574,0.0,0.0
-101.04035574197769,100,160.444514,-101.04035574197769,0.0,0.0
-172.87660659849644,100,161.222177,-172.87660659849644,0.0,0.0
-195.71240174770355,100,165.2911,-195.71240174770355,0.0,0.0
-116.73570246715099,100,166.198126,-116.73570246715099,0.0,0.0
-130.57293394953012,100,167.093983,-130.57293394953012,0.0,0.0
-129.96063040196896,100,167.949019,-129.96063040196896,0.0,0.0
-178.92302736639977,100,168.940953,-178.92302736639977,0.0,0.0
-165.07883823662996,100,169.884191,-165.07883823662996,0.0,0.0
-141.8153707459569,100,170.793438,-141.8153707459569,0.0,0.0
-189.316980779171,100,171.697863,-189.316980779171,0.0,0.0
-178.00001177191734,100,172.518105,-178.00001177191734,0.0,0.0
-137.11628003045917,100,173.277304,-137.11628003045917,0.0,0.0
-212.0274574160576,100,177.304929,-212.0274574160576,0.0,0.0
-222.29531906545162,100,178.204536,-222.29531906545162,0.0,0.0
-230.60627756267786,100,179.066538,-230.60627756267786,0.0,0.0
-184.00257347151637,100,180.043664,-184.00257347151637,0.0,0.0
-250.0796136856079,100,180.962373,-250.0796136856079,0.0,0.0
-173.8294494599104,100,181.771141,-173.8294494599104,0.0,0.0
-240.3741131424904,100,182.585107,-240.3741131424904,0.0,0.0
-116.5819219648838,100,183.464374,-116.5819219648838,0.0,0.0
-126.70718631148338,100,184.380449,-126.70718631148338,0.0,0.0
-141.34132439643145,100,185.143811,-141.34132439643145,0.0,0.0
-190.95769023895264,100,189.008351,-190.95769023895264,0.0,0.0
-91.51087284088135,100,189.905882,-91.51087284088135,0.0,0.0
-92.77050244994462,100,190.731942,-92.77050244994462,0.0,0.0
-181.27693310379982,100,191.59503,-181.27693310379982,0.0,0.0
-116.58576626796275,100,192.65108,-116.58576626796275,0.0,0.0
-155.5637725368142,100,193.573079,-155.5637725368142,0.0,0.0
-151.3604501467198,100,194.58729,-151.3604501467198,0.0,0.0
-139.80573834991083,100,195.583219,-139.80573834991083,0.0,0.0
-148.1476647257805,100,196.493846,-148.1476647257805,0.0,0.0
