# {"t_start": 1593697035.7852569, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-182.0997632034123,100,5.622602,-1.0,0.0,-180.0997632034123,-1.0,0.0,0.0
-593.0483139827847,100,7.326247,0.0,0.0,-593.0483139827847,0.0,0.0,0.0
-499.60141687467694,100,8.709121,-1.0,0.0,-497.60141687467694,0.0,-1.0,0.0
-401.52928157523274,100,10.141435,0.0,0.0,-401.52928157523274,0.0,0.0,0.0
-558.0710828192532,100,11.504601,-4.0,0.0,-552.0710828192532,0.0,0.0,-2.0
-265.87227011471987,100,13.06284,0.0,0.0,-265.87227011471987,0.0,0.0,0.0
-473.8011036813259,100,14.533931,0.0,0.0,-473.8011036813259,0.0,0.0,0.0
-358.06486374884844,100,15.971599,0.0,0.0,-358.06486374884844,0.0,0.0,0.0
-405.28732834616676,100,17.537903,0.0,0.0,-401.28732834616676,-2.0,-2.0,0.0
-273.62104086205363,100,19.094396,0.0,0.0,-271.62104086205363,-2.0,0.0,0.0
-377.99614301510155,100,193.465637,-1.0,0.0,-376.99614301510155,0.0,0.0,0.0
-400.1583953509107,100,194.96452,0.0,0.0,-400.1583953509107,0.0,0.0,0.0
-458.55623004958034,100,196.370359,-4.0,0.0,-450.55623004958034,-4.0,0.0,0.0
-948.2108796150424,100,197.903861,0.0,0.0,-946.2108796150424,0.0,-2.0,0.0
-352.2673615925014,100,199.457643,0.0,0.0,-352.2673615925014,0.0,0.0,0.0
-1079.278457865119,100,201.009031,0.0,-2.0,-1071.278457865119,0.0,-4.0,-2.0
-427.5074106939137,100,202.508015,-2.0,0.0,-421.5074106939137,0.0,-2.0,-2.0
-327.27303192950785,100,204.054821,0.0,0.0,-324.27303192950785,0.0,-3.0,0.0
-806.64092220366,100,205.621506,0.0,0.0,-806.64092220366,0.0,0.0,0.0
-351.54856442380697,100,207.166627,0.0,-4.0,-341.54856442380697,-4.0,-2.0,0.0
-420.3975069075823,100,339.329089,0.0,0.0,-418.3975069075823,-2.0,0.0,0.0
-389.83031084015965,100,340.951944,0.0,-1.0,-384.83031084015965,0.0,0.0,-4.0
-302.45064355805516,100,342.54029,0.0,-1.0,-300.45064355805516,0.0,-1.0,0.0
-495.0953079704195,100,344.136857,0.0,0.0,-492.0953079704195,0.0,-3.0,0.0
-410.9794549681246,100,345.734754,0.0,0.0,-410.9794549681246,0.0,0.0,0.0
-428.1984420204535,100,347.306585,0.0,-4.0,-420.1984420204535,0.0,-4.0,0.0
-308.69541288074106,100,348.962481,0.0,0.0,-308.69541288074106,0.0,0.0,0.0
-320.37012173980474,100,350.580664,-1.0,0.0,-315.37012173980474,0.0,-4.0,0.0
-844.81903873384,100,352.174759,-1.0,0.0,-843.81903873384,0.0,0.0,0.0
-322.6143968962133,100,353.78789,-1.0,-1.0,-318.6143968962133,-2.0,0.0,0.0
-440.5026252567768,100,483.583397,-1.0,-3.0,-426.5026252567768,-3.0,-6.0,-1.0
-470.7182112708688,100,485.208731,0.0,-2.0,-466.7182112708688,-2.0,0.0,0.0
-328.4629004513845,100,486.857312,0.0,0.0,-328.4629004513845,0.0,0.0,0.0
-390.8754969872534,100,488.411402,-1.0,-2.0,-376.8754969872534,-3.0,-5.0,-3.0
-653.7728541195393,100,490.092092,-5.0,0.0,-642.7728541195393,-4.0,0.0,-2.0
-695.9959649220109,100,491.646865,0.0,0.0,-695.9959649220109,0.0,0.0,0.0
-310.5544946566224,100,493.239903,0.0,0.0,-309.5544946566224,0.0,0.0,-1.0
-317.8298585489392,100,494.840841,0.0,0.0,-317.8298585489392,0.0,0.0,0.0
-427.0957324281335,100,496.457816,0.0,0.0,-427.0957324281335,0.0,0.0,0.0
-306.5881622880697,100,498.034666,-4.0,0.0,-302.5881622880697,0.0,0.0,0.0
-321.1327320225537,100,627.581441,0.0,0.0,-321.1327320225537,0.0,0.0,0.0
-302.18751869909465,100,629.178758,0.0,0.0,-302.18751869909465,0.0,0.0,0.0
-259.52118736319244,100,630.791824,0.0,-5.0,-249.52118736319244,-4.0,0.0,-1.0
-274.1655732737854,100,632.390703,0.0,0.0,-273.1655732737854,0.0,-1.0,0.0
-300.7265948150307,100,633.991211,-1.0,-7.0,-286.7265948150307,-5.0,-1.0,0.0
-495.8763045370579,100,635.578992,0.0,-2.0,-491.8763045370579,0.0,-2.0,0.0
-352.1429419189226,100,637.195581,0.0,0.0,-350.1429419189226,0.0,-2.0,0.0
-610.1849524322897,100,638.763388,-4.0,0.0,-602.1849524322897,0.0,0.0,-4.0
-680.4224244654179,100,640.36558,0.0,0.0,-680.4224244654179,0.0,0.0,0.0
-568.9974361136556,100,641.933973,0.0,0.0,-559.9974361136556,0.0,-4.0,-5.0
-364.68186355149373,100,772.313098,0.0,0.0,-364.68186355149373,0.0,0.0,0.0
-383.4193027485162,100,773.961234,-1.0,0.0,-382.4193027485162,0.0,0.0,0.0
-330.9570319317281,100,775.526664,-2.0,0.0,-318.9570319317281,-2.0,-4.0,-4.0
-346.87410871498287,100,777.164102,-6.0,0.0,-334.87410871498287,-4.0,0.0,-2.0
-359.2613369859755,100,778.715162,-5.0,0.0,-349.2613369859755,-5.0,0.0,0.0
-365.82890863996,100,780.301005,-4.0,0.0,-357.82890863996,-2.0,-2.0,0.0
-393.22185810282826,100,781.914272,0.0,-2.0,-391.22185810282826,0.0,0.0,0.0
-306.4384329933673,100,783.535965,-1.0,-2.0,-301.4384329933673,-2.0,0.0,0.0
-502.2119163349271,100,785.158391,0.0,-6.0,-476.2119163349271,-5.0,-7.0,-8.0
-755.8726117014885,100,786.745923,-4.0,-6.0,-727.8726117014885,-7.0,-2.0,-9.0
-287.16519531421363,100,916.322875,-4.0,0.0,-276.16519531421363,-7.0,0.0,0.0
-410.6177198626101,100,918.002388,0.0,0.0,-400.6177198626101,0.0,-6.0,-4.0
-338.0472116526216,100,919.646842,0.0,0.0,-334.0472116526216,-2.0,0.0,-2.0
-675.6251170188189,100,921.320871,0.0,-2.0,-673.6251170188189,0.0,0.0,0.0
-344.92666656035,100,922.944074,-4.0,-4.0,-312.92666656035,-7.0,-11.0,-6.0
-455.1497840322554,100,924.427712,-11.0,0.0,-429.1497840322554,-7.0,0.0,-8.0
-424.20592888630927,100,925.936793,-5.0,-2.0,-410.20592888630927,0.0,-5.0,-2.0
-454.4931954704225,100,927.541019,-5.0,0.0,-446.4931954704225,0.0,0.0,-3.0
-341.10023694485426,100,929.09736,-3.0,0.0,-334.10023694485426,-3.0,-1.0,0.0
-342.3272773337085,100,930.663114,-2.0,0.0,-334.3272773337085,0.0,-4.0,-2.0
-334.87018705531955,100,1059.594507,-1.0,0.0,-326.87018705531955,-3.0,0.0,-4.0
-324.0957784242928,100,1061.072791,-1.0,-1.0,-312.0957784242928,-1.0,-5.0,-4.0
-334.42660348839127,100,1062.530977,-1.0,0.0,-328.42660348839127,-2.0,-3.0,0.0
-526.9613338783383,100,1063.92111,-1.0,0.0,-520.9613338783383,-3.0,0.0,-2.0
-409.9843052588403,100,1065.265061,-3.0,0.0,-402.9843052588403,-1.0,0.0,-3.0
-359.3067463040352,100,1066.734759,-2.0,0.0,-355.3067463040352,0.0,0.0,-2.0
-355.5882059838623,100,1068.176642,0.0,-1.0,-353.5882059838623,-1.0,0.0,0.0
-307.84980260953307,100,1069.534924,0.0,-1.0,-305.84980260953307,0.0,-1.0,0.0
-341.4176494330168,100,1071.082259,-2.0,0.0,-335.4176494330168,-2.0,-2.0,0.0
-487.3251628689468,100,1072.460895,-2.0,-2.0,-483.3251628689468,0.0,0.0,0.0
-335.64188456814736,100,1201.645889,0.0,0.0,-334.64188456814736,0.0,0.0,-1.0
-341.5025779530406,100,1203.034519,-8.0,0.0,-321.5025779530406,-7.0,-5.0,0.0
-669.749055383727,100,1204.446303,-6.0,-6.0,-647.749055383727,-6.0,0.0,-4.0
-417.3518467955291,100,1205.805186,0.0,-4.0,-410.3518467955291,0.0,-3.0,0.0
-293.8281791107729,100,1207.336297,-3.0,0.0,-287.8281791107729,0.0,-3.0,0.0
-342.79111259430647,100,1208.867237,-2.0,-2.0,-338.79111259430647,0.0,0.0,0.0
-401.72992957383394,100,1210.41516,0.0,-6.0,-389.72992957383394,0.0,0.0,-6.0
-444.0349645987153,100,1211.840637,0.0,0.0,-442.0349645987153,0.0,-2.0,0.0
-401.8481153100729,100,1213.250333,-4.0,0.0,-393.8481153100729,0.0,-2.0,-2.0
-376.9495113734156,100,1214.831533,0.0,0.0,-376.9495113734156,0.0,0.0,0.0
-289.8514793049544,100,1345.155212,-4.0,-1.0,-281.8514793049544,-1.0,0.0,-2.0
-319.6677118316293,100,1346.749329,-2.0,-5.0,-304.6677118316293,0.0,-1.0,-7.0
-362.69668506179005,100,1348.320198,-2.0,0.0,-358.69668506179005,0.0,0.0,-2.0
-424.31558822095394,100,1349.926731,-1.0,0.0,-422.31558822095394,-1.0,0.0,0.0
-289.55290858936496,100,1351.53329,-1.0,0.0,-286.55290858936496,-1.0,-1.0,0.0
-429.9769439715892,100,1353.117443,-2.0,0.0,-425.9769439715892,0.0,-2.0,0.0
-380.84614357724786,100,1354.659931,-7.0,0.0,-366.84614357724786,-7.0,0.0,0.0
-347.17819953896105,100,1356.22919,-4.0,0.0,-336.17819953896105,-3.0,0.0,-4.0
-492.30201356112957,100,1357.763838,0.0,0.0,-480.30201356112957,-2.0,-3.0,-7.0
-254.10613799933344,100,1359.261294,-1.0,0.0,-252.10613799933344,0.0,0.0,-1.0
-431.6618741704151,100,1489.409992,-2.0,-2.0,-423.6618741704151,0.0,-2.0,-2.0
-445.10566023364663,100,1490.991476,0.0,0.0,-445.10566023364663,0.0,0.0,0.0
-450.7011607810855,100,1492.558721,0.0,0.0,-438.7011607810855,-6.0,-6.0,0.0
-309.3211817275733,100,1494.098392,0.0,0.0,-309.3211817275733,0.0,0.0,0.0
-346.0928936265409,100,1495.603524,0.0,0.0,-346.0928936265409,0.0,0.0,0.0
-332.87224162742496,100,1497.120502,0.0,-2.0,-328.87224162742496,0.0,0.0,-2.0
-446.63065415620804,100,1498.705063,-2.0,-1.0,-441.63065415620804,0.0,-2.0,0.0
-325.4157407502644,100,1500.245253,-2.0,0.0,-319.4157407502644,-2.0,0.0,-2.0
-361.40131634660065,100,1501.80776,0.0,0.0,-361.40131634660065,0.0,0.0,0.0
-351.48813783656806,100,1503.341517,-2.0,-3.0,-341.48813783656806,0.0,-3.0,-2.0
-274.0754670375027,100,1634.099206,-3.0,0.0,-264.0754670375027,-2.0,-5.0,0.0
-536.8357877135277,100,1635.705483,-1.0,-12.0,-522.8357877135277,-1.0,0.0,0.0
-400.49499097373337,100,1637.200548,-2.0,0.0,-392.49499097373337,-3.0,0.0,-3.0
-359.22135941684246,100,1638.782998,0.0,0.0,-358.22135941684246,0.0,0.0,-1.0
-334.245741603896,100,1640.389875,0.0,0.0,-328.245741603896,-2.0,-2.0,-2.0
-399.60491904243827,100,1641.996477,0.0,-1.0,-397.60491904243827,0.0,0.0,-1.0
-332.64480758085847,100,1643.649224,0.0,0.0,-332.64480758085847,0.0,0.0,0.0
-318.91071375180036,100,1645.223202,-4.0,0.0,-308.91071375180036,-2.0,-4.0,0.0
-304.66011150879785,100,1646.779411,-1.0,-3.0,-298.66011150879785,0.0,-2.0,0.0
-258.3031408665702,100,1648.325651,-3.0,0.0,-244.30314086657017,-7.0,-4.0,0.0
-425.9363119825721,100,1778.625634,-9.0,0.0,-411.9363119825721,0.0,-3.0,-2.0
-384.6150690149516,100,1780.166566,0.0,0.0,-379.6150690149516,0.0,-5.0,0.0
