# {"t_start": 1593697035.764461, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-387.378900334239,100,5.643227,0.0,-4.0,-379.378900334239,0.0,0.0,-4.0
-451.8045555111021,100,7.344646,0.0,0.0,-451.8045555111021,0.0,0.0,0.0
-269.7032134924084,100,8.731372,0.0,0.0,-269.7032134924084,0.0,0.0,0.0
-348.6451839385554,100,10.161047,0.0,0.0,-348.6451839385554,0.0,0.0,0.0
-330.1358461007476,100,11.521921,-1.0,0.0,-328.1358461007476,-1.0,0.0,0.0
-473.3441139124334,100,13.083532,0.0,0.0,-471.3441139124334,0.0,0.0,-2.0
-334.5450513707474,100,14.552254,0.0,0.0,-334.5450513707474,0.0,0.0,0.0
-301.3742896001786,100,15.991154,0.0,0.0,-301.3742896001786,0.0,0.0,0.0
-328.0499871633947,100,17.562515,0.0,0.0,-328.0499871633947,0.0,0.0,0.0
-791.322485703975,100,19.114578,0.0,0.0,-791.322485703975,0.0,0.0,0.0
-615.0710210986435,100,193.483623,0.0,0.0,-615.0710210986435,0.0,0.0,0.0
-496.908059746027,100,194.984411,-1.0,-1.0,-491.908059746027,-1.0,-1.0,-1.0
-293.42391814198345,100,196.392647,-4.0,0.0,-285.42391814198345,-4.0,0.0,0.0
-263.59173322096467,100,197.926722,0.0,0.0,-263.59173322096467,0.0,0.0,0.0
-604.1981948837638,100,199.478662,0.0,-4.0,-596.1981948837638,-4.0,0.0,0.0
-457.7247137762606,100,201.028278,-4.0,0.0,-449.7247137762606,-4.0,0.0,0.0
-377.4073250759393,100,202.528118,0.0,0.0,-377.4073250759393,0.0,0.0,0.0
-804.8980538509786,100,204.073417,-4.0,-1.0,-796.8980538509786,-3.0,0.0,0.0
-527.058193333447,100,205.642955,0.0,0.0,-527.058193333447,0.0,0.0,0.0
-298.81430671177804,100,207.191118,-3.0,0.0,-292.81430671177804,0.0,0.0,-3.0
-513.825109615922,100,339.35121,-2.0,0.0,-509.825109615922,-2.0,0.0,0.0
-255.17509569600224,100,340.975065,-2.0,0.0,-246.17509569600224,-2.0,-5.0,0.0
-560.396160390228,100,342.56146,0.0,0.0,-560.396160390228,0.0,0.0,0.0
-833.532743383199,100,344.15827,0.0,0.0,-833.532743383199,0.0,0.0,0.0
-505.7155696246773,100,345.753548,0.0,0.0,-505.7155696246773,0.0,0.0,0.0
-693.5913173630834,100,347.327863,-2.0,-1.0,-685.5913173630834,-2.0,-2.0,-1.0
