# {"t_start": 1593697035.8993275, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-568.8506401181221,100,5.509425,0.0,0.0,-568.8506401181221,0.0,0.0,0.0
-412.73831594362855,100,7.211258,0.0,0.0,-412.73831594362855,0.0,0.0,0.0
-353.75155497388914,100,8.596296,0.0,0.0,-351.75155497388914,0.0,-1.0,-1.0
-397.50417140871286,100,10.027867,0.0,0.0,-397.50417140871286,0.0,0.0,0.0
-538.7644348181784,100,11.391302,0.0,0.0,-534.7644348181784,-2.0,-2.0,0.0
-609.8340214453638,100,12.948881,0.0,0.0,-609.8340214453638,0.0,0.0,0.0
-786.6369483172894,100,14.418708,0.0,0.0,-784.6369483172894,0.0,-2.0,0.0
-356.94044172763824,100,15.858134,0.0,0.0,-356.94044172763824,0.0,0.0,0.0
-507.90938491001725,100,17.429017,-2.0,-2.0,-501.90938491001725,0.0,-2.0,0.0
-258.211396161234,100,18.98334,0.0,0.0,-258.211396161234,0.0,0.0,0.0
-576.7958354055882,100,193.350196,0.0,0.0,-575.7958354055882,0.0,-1.0,0.0
-677.0208988711238,100,194.851004,0.0,0.0,-673.0208988711238,-2.0,-2.0,0.0
-405.9293307699263,100,196.258037,0.0,-2.0,-401.9293307699263,-2.0,0.0,0.0
-563.2617015074939,100,197.792566,0.0,0.0,-563.2617015074939,0.0,0.0,0.0
-995.4856054261327,100,199.346043,0.0,0.0,-995.4856054261327,0.0,0.0,0.0
-281.47231814078987,100,200.896096,0.0,-1.0,-279.47231814078987,-1.0,0.0,0.0
-579.2460655383766,100,202.397538,0.0,0.0,-579.2460655383766,0.0,0.0,0.0
-706.7217318192124,100,203.940512,0.0,0.0,-706.7217318192124,0.0,0.0,0.0
-617.8473952934146,100,205.506756,-1.0,-1.0,-615.8473952934146,0.0,0.0,0.0
-323.3903730753809,100,207.056888,0.0,0.0,-323.3903730753809,0.0,0.0,0.0
-480.20857955142856,100,339.21496,-5.0,0.0,-470.20857955142856,0.0,0.0,-5.0
-478.51024002581835,100,340.838097,-1.0,0.0,-477.51024002581835,0.0,0.0,0.0
-328.44839551858604,100,342.426609,-2.0,0.0,-318.44839551858604,0.0,-6.0,-2.0
-244.24017333146185,100,344.022123,-2.0,-3.0,-238.24017333146185,0.0,0.0,-1.0
-311.63101137103513,100,345.622863,-3.0,-6.0,-298.63101137103513,-4.0,0.0,0.0
-386.96477434039116,100,347.192448,-1.0,0.0,-385.96477434039116,0.0,0.0,0.0
-587.1993339657784,100,348.850421,-6.0,-4.0,-575.1993339657784,0.0,-2.0,0.0
-504.82641205214895,100,350.467112,-1.0,-1.0,-494.82641205214895,-6.0,0.0,-2.0
-771.1948735453188,100,352.06184,0.0,-2.0,-767.1948735453188,0.0,0.0,-2.0
-338.7571048140526,100,353.674447,-4.0,-9.0,-316.7571048140526,-9.0,0.0,0.0
-284.99153685197234,100,483.471103,0.0,0.0,-284.99153685197234,0.0,0.0,0.0
-342.29006210155785,100,485.096779,-1.0,-1.0,-340.29006210155785,0.0,0.0,0.0
-282.0570072606206,100,486.742565,-1.0,0.0,-280.0570072606206,0.0,-1.0,0.0
-312.1148124076426,100,488.296512,-1.0,0.0,-309.1148124076426,-1.0,-1.0,0.0
-401.83887567184865,100,489.980132,-2.0,0.0,-395.83887567184865,-2.0,0.0,-2.0
-353.55947338044643,100,491.533539,-2.0,0.0,-349.55947338044643,0.0,-2.0,0.0
-491.4050000011921,100,493.129573,-2.0,-2.0,-487.4050000011921,0.0,0.0,0.0
-489.9698975980282,100,494.726997,0.0,-4.0,-484.9698975980282,0.0,0.0,-1.0
-405.9553449526429,100,496.341317,0.0,0.0,-405.9553449526429,0.0,0.0,0.0
-289.6412077033892,100,497.918372,0.0,-5.0,-279.6412077033892,0.0,0.0,-5.0
-437.2525487393141,100,627.468166,-4.0,0.0,-424.2525487393141,0.0,-5.0,-4.0
-728.7144149187952,100,629.063793,-4.0,-1.0,-723.7144149187952,0.0,0.0,0.0
-310.25667212717235,100,630.678775,0.0,0.0,-308.25667212717235,0.0,0.0,-2.0
-362.5656729657203,100,632.274917,0.0,0.0,-362.5656729657203,0.0,0.0,0.0
-668.6708876751363,100,633.877259,-2.0,0.0,-664.6708876751363,0.0,0.0,-2.0
-341.8065997362137,100,635.468944,0.0,-2.0,-337.8065997362137,-2.0,0.0,0.0
-323.1917988387868,100,637.08448,0.0,0.0,-315.1917988387868,-4.0,-4.0,0.0
-480.18393367528915,100,638.650456,0.0,0.0,-476.18393367528915,-2.0,-2.0,0.0
-561.2018851079047,100,640.25198,-6.0,-5.0,-540.2018851079047,-7.0,-1.0,-2.0
-308.5332530126907,100,641.818524,-1.0,-2.0,-300.5332530126907,-2.0,-3.0,0.0
-509.62942714989185,100,772.198993,-1.0,0.0,-507.62942714989185,-1.0,0.0,0.0
-394.2816583290696,100,773.84621,0.0,0.0,-392.2816583290696,-2.0,0.0,0.0
-311.0568409538828,100,775.415921,-6.0,0.0,-295.0568409538828,0.0,-4.0,-6.0
-429.53359108418226,100,777.04988,0.0,-6.0,-411.53359108418226,-3.0,-7.0,-2.0
-357.451937135309,100,778.600644,-1.0,0.0,-355.451937135309,0.0,0.0,-1.0
-539.3828649781644,100,780.189592,0.0,0.0,-539.3828649781644,0.0,0.0,0.0
-444.01262233406305,100,781.798008,-2.0,-2.0,-440.01262233406305,0.0,0.0,0.0
-343.7184874545783,100,783.425203,0.0,0.0,-343.7184874545783,0.0,0.0,0.0
-394.64345802459866,100,785.043962,-4.0,0.0,-380.64345802459866,-5.0,-2.0,-3.0
-349.2290306985378,100,786.634649,0.0,0.0,-348.2290306985378,0.0,-1.0,0.0
-450.2437004521489,100,916.207597,-2.0,-7.0,-441.2437004521489,0.0,0.0,0.0
