# {"t_start": 1593315364.3434925, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-616.7512047886848,100,2.49301,-616.7512047886848,0.0,0.0
-230.56325641274452,100,3.044702,-230.56325641274452,0.0,0.0
-595.0150425434113,100,3.588453,-595.0150425434113,0.0,0.0
-384.65769539400935,100,4.097792,-384.65769539400935,0.0,0.0
-369.72342229634523,100,4.583832,-369.72342229634523,0.0,0.0
-212.16580830141902,100,5.100349,-212.16580830141902,0.0,0.0
-219.9876955933869,100,5.5669,-219.9876955933869,0.0,0.0
-496.062722325325,100,6.04767,-496.062722325325,0.0,0.0
-208.06841786578298,100,6.613551,-208.06841786578298,0.0,0.0
-403.0187446884811,100,7.116614,-399.0187446884811,-2.0,-2.0
-365.2453454732895,100,21.545272,-365.2453454732895,0.0,0.0
-267.0069418773055,100,22.023294,-267.0069418773055,0.0,0.0
-268.6299903206527,100,22.554238,-268.6299903206527,0.0,0.0
-396.1643378287554,100,23.247074,-396.1643378287554,0.0,0.0
-196.12998786196113,100,23.762586,-196.12998786196113,0.0,0.0
-256.00829592347145,100,24.249232,-255.00829592347145,0.0,-1.0
-252.02906531095505,100,24.758677,-252.02906531095505,0.0,0.0
-231.65503437817097,100,25.300092,-231.65503437817097,0.0,0.0
-167.43115966022015,100,25.900041,-167.43115966022015,0.0,0.0
-416.03503543138504,100,26.438804,-416.03503543138504,0.0,0.0
-228.58587776869535,100,34.202834,-226.58587776869535,-2.0,0.0
-234.99962881952524,100,34.729827,-234.99962881952524,0.0,0.0
-205.75705260783434,100,35.299887,-205.75705260783434,0.0,0.0
-202.3598868250847,100,35.886281,-202.3598868250847,0.0,0.0
-226.80344737321138,100,36.40646,-226.80344737321138,0.0,0.0
-214.67340823356062,100,36.914607,-214.67340823356062,0.0,0.0
-211.18757078796625,100,37.414151,-211.18757078796625,0.0,0.0
-220.86398428375833,100,38.027952,-220.86398428375833,0.0,0.0
-465.26490834355354,100,38.604314,-463.26490834355354,-1.0,-1.0
-243.538648173213,100,39.160934,-242.538648173213,-1.0,0.0
-203.47529350593686,100,47.223884,-203.47529350593686,0.0,0.0
-264.3691733442247,100,47.71701,-261.3691733442247,0.0,-3.0
-182.648494316265,100,48.35401,-181.648494316265,-1.0,0.0
-264.2624750211835,100,49.042798,-264.2624750211835,0.0,0.0
-277.4798558251932,100,49.599841,-277.4798558251932,0.0,0.0
-212.96515523828566,100,50.189419,-212.96515523828566,0.0,0.0
-206.1673507541418,100,51.031924,-206.1673507541418,0.0,0.0
-223.86762472242117,100,52.098001,-223.86762472242117,0.0,0.0
-175.2725677965209,100,53.435866,-175.2725677965209,0.0,0.0
-183.1927052438259,100,54.855052,-180.1927052438259,-3.0,0.0
-160.34171991981566,100,63.058735,-160.34171991981566,0.0,0.0
-212.52611809689552,100,63.547924,-208.52611809689552,0.0,-4.0
-199.86709732934833,100,64.116745,-199.86709732934833,0.0,0.0
-120.33221689984202,100,64.661507,-120.33221689984202,0.0,0.0
-118.15313850808889,100,65.162347,-118.15313850808889,0.0,0.0
-262.5513697937131,100,65.66491,-262.5513697937131,0.0,0.0
-228.83313799649477,100,66.165782,-226.83313799649477,0.0,-2.0
-218.37088688928634,100,66.858089,-216.37088688928634,-2.0,0.0
-140.2171737384051,100,67.467959,-128.2171737384051,-6.0,-6.0
-213.23338470235467,100,68.068961,-213.23338470235467,0.0,0.0
