# {"t_start": 1593579380.5124457, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-287.4360244497657,100,3.406285,-286.4360244497657,0.0,0.0,-1.0,0.0,0.0
-633.615782706067,100,4.532849,-631.615782706067,-1.0,-1.0,0.0,0.0,0.0
-697.2949938960373,100,5.841156,-697.2949938960373,0.0,0.0,0.0,0.0,0.0
-270.95702443644404,100,6.870375,-270.95702443644404,0.0,0.0,0.0,0.0,0.0
-378.6415009032935,100,8.053298,-378.6415009032935,0.0,0.0,0.0,0.0,0.0
-310.0848536910489,100,9.264518,-310.0848536910489,0.0,0.0,0.0,0.0,0.0
-569.6555684134364,100,10.406858,-569.6555684134364,0.0,0.0,0.0,0.0,0.0
-659.2069399151951,100,11.483579,-659.2069399151951,0.0,0.0,0.0,0.0,0.0
-803.5026166252792,100,12.709322,-803.5026166252792,0.0,0.0,0.0,0.0,0.0
-634.662466221489,100,13.873019,-630.662466221489,-2.0,0.0,0.0,-2.0,0.0
-628.1907956823707,100,44.302024,-624.1907956823707,0.0,-2.0,0.0,0.0,-2.0
-609.349785823375,100,46.528646,-598.349785823375,-6.0,0.0,-4.0,-1.0,0.0
-509.81123444158584,100,49.375,-480.81123444158584,-1.0,-14.0,-7.0,-7.0,0.0
-637.3914738222957,100,51.361584,-626.3914738222957,-4.0,-3.0,0.0,-1.0,-3.0
-510.97185039520264,100,52.926302,-504.97185039520264,0.0,0.0,-3.0,-3.0,0.0
-324.037798281759,100,54.706381,-314.037798281759,0.0,0.0,-1.0,-5.0,-4.0
-429.29344438016415,100,56.320623,-423.29344438016415,0.0,-2.0,0.0,-2.0,-2.0
-568.9632685836405,100,58.232274,-564.9632685836405,-1.0,0.0,-2.0,0.0,-1.0
-274.05666379630566,100,59.907563,-273.05666379630566,0.0,0.0,0.0,-1.0,0.0
-347.3982384763658,100,61.653356,-343.3982384763658,0.0,0.0,-2.0,0.0,-2.0
-372.40326184406877,100,79.698289,-364.40326184406877,-1.0,-2.0,0.0,-2.0,-3.0
-422.2749216668308,100,81.377462,-418.2749216668308,-3.0,0.0,-1.0,0.0,0.0
-594.1323573067784,100,82.95178,-582.1323573067784,0.0,0.0,-6.0,-6.0,0.0
-420.9741694778204,100,84.538325,-400.9741694778204,-2.0,-4.0,-10.0,-4.0,0.0
-258.1541708614677,100,85.941692,-252.15417086146772,0.0,0.0,-2.0,-2.0,-2.0
-656.6714574024081,100,87.736191,-633.6714574024081,-12.0,0.0,-7.0,-4.0,0.0
-482.30014665424824,100,89.41553,-461.30014665424824,-11.0,0.0,0.0,0.0,-10.0
-352.09914586879313,100,91.051702,-350.09914586879313,0.0,0.0,0.0,0.0,-2.0
-604.0472582168877,100,92.559896,-598.0472582168877,0.0,0.0,-1.0,-3.0,-2.0
-370.8671090453863,100,94.077274,-365.8671090453863,0.0,0.0,-2.0,-1.0,-2.0
-352.8134891502559,100,113.151907,-346.8134891502559,-2.0,0.0,0.0,-2.0,-2.0
-324.8039242886007,100,115.078008,-318.8039242886007,0.0,-2.0,-1.0,-3.0,0.0
-377.68457437492907,100,116.553147,-367.68457437492907,0.0,-1.0,-4.0,0.0,-5.0
-432.00867684930563,100,118.087143,-414.00867684930563,-7.0,-2.0,0.0,0.0,-9.0
-337.9932803157717,100,119.699989,-331.9932803157717,-2.0,0.0,0.0,-3.0,-1.0
-929.4449477419257,100,121.291673,-917.4449477419257,0.0,-4.0,-2.0,-1.0,-5.0
-263.5343726594001,100,122.833663,-263.5343726594001,0.0,0.0,0.0,0.0,0.0
-443.1527288919315,100,124.407646,-433.1527288919315,0.0,-3.0,-2.0,-2.0,-3.0
-372.26156819984317,100,125.999361,-359.26156819984317,0.0,0.0,-5.0,-2.0,-6.0
-379.2621326185763,100,127.548152,-361.2621326185763,0.0,-9.0,0.0,0.0,-9.0
-274.08302142471075,100,146.47147,-272.08302142471075,0.0,-2.0,0.0,0.0,0.0
-270.20186584442854,100,148.279046,-268.20186584442854,0.0,-2.0,0.0,0.0,0.0
-386.76287079253234,100,149.988266,-384.76287079253234,0.0,-1.0,0.0,0.0,-1.0
-459.72430899739265,100,151.513695,-451.72430899739265,0.0,-2.0,-4.0,0.0,-2.0
-386.0104084648192,100,153.23113,-382.0104084648192,0.0,0.0,-2.0,-2.0,0.0
-417.2345163449645,100,154.721689,-399.2345163449645,-6.0,0.0,-6.0,0.0,-6.0
-457.916436702013,100,156.455062,-451.916436702013,-1.0,0.0,-4.0,-1.0,0.0
-337.82672557234764,100,157.83568,-323.82672557234764,0.0,0.0,-3.0,-2.0,-9.0
-390.53966971486807,100,159.54387,-360.53966971486807,0.0,-9.0,0.0,-12.0,-9.0
-415.3951783888042,100,160.888688,-411.3951783888042,0.0,0.0,0.0,0.0,-4.0
-332.7558294162154,100,180.335902,-317.7558294162154,-1.0,0.0,0.0,0.0,-14.0
-312.1126032676548,100,182.126986,-289.1126032676548,-8.0,-6.0,0.0,-4.0,-5.0
-346.640753781423,100,183.505379,-343.640753781423,0.0,0.0,-3.0,0.0,0.0
-412.6445637601428,100,184.866963,-397.6445637601428,0.0,-8.0,0.0,-1.0,-6.0
-332.7562547251582,100,186.57738,-321.7562547251582,0.0,-2.0,-5.0,-2.0,-2.0
-406.9063909156248,100,188.020569,-373.9063909156248,-3.0,-3.0,-14.0,-4.0,-9.0
-279.69778217049316,100,189.665439,-274.69778217049316,-1.0,0.0,-1.0,0.0,-3.0
-419.0400157701224,100,191.335826,-415.0400157701224,0.0,-2.0,0.0,-1.0,-1.0
-386.2275290712714,100,192.73646,-384.2275290712714,0.0,-2.0,0.0,0.0,0.0
-291.2022248087451,100,194.294025,-287.2022248087451,0.0,0.0,0.0,-1.0,-3.0
-371.9144705366343,100,213.173026,-367.9144705366343,-2.0,0.0,0.0,-2.0,0.0
-322.405098002404,100,214.926131,-307.405098002404,0.0,0.0,-9.0,-6.0,0.0
-493.4368475228548,100,216.321608,-484.4368475228548,-1.0,0.0,-5.0,-3.0,0.0
-528.2043530158699,100,218.033569,-528.2043530158699,0.0,0.0,0.0,0.0,0.0
-370.07550683803856,100,219.464945,-362.07550683803856,0.0,-1.0,-3.0,0.0,-4.0
-343.7414629077539,100,221.10164,-341.7414629077539,0.0,0.0,0.0,-2.0,0.0
-361.2242170814425,100,222.515188,-347.2242170814425,-7.0,0.0,-4.0,-3.0,0.0
-595.4760375954211,100,224.193522,-573.4760375954211,-11.0,-3.0,0.0,-4.0,-4.0
-397.9744557514787,100,225.58048,-391.9744557514787,0.0,-2.0,-2.0,0.0,-2.0
-389.0768016707152,100,227.172076,-373.0768016707152,-6.0,-1.0,-2.0,0.0,-7.0
-440.099710624665,100,246.581066,-432.099710624665,-3.0,-4.0,0.0,-1.0,0.0
-426.41906720772386,100,248.00776,-425.41906720772386,-1.0,0.0,0.0,0.0,0.0
-380.03874446451664,100,249.474908,-373.03874446451664,0.0,0.0,-5.0,0.0,-2.0
-286.39661381952465,100,251.147306,-273.39661381952465,0.0,-2.0,-4.0,-5.0,-2.0
-551.1459888909012,100,252.735655,-545.1459888909012,-3.0,-1.0,-2.0,0.0,0.0
-384.9749259063974,100,254.206756,-361.9749259063974,-5.0,-2.0,-7.0,-4.0,-5.0
-423.7671629190445,100,255.904984,-417.7671629190445,-3.0,0.0,-3.0,0.0,0.0
-416.70591397583485,100,257.291063,-412.70591397583485,-4.0,0.0,0.0,0.0,0.0
-345.6278713196516,100,258.963484,-339.6278713196516,0.0,0.0,-6.0,0.0,0.0
-429.9180348236114,100,260.275386,-425.9180348236114,-2.0,-2.0,0.0,0.0,0.0
-531.4239396005869,100,280.166154,-526.4239396005869,0.0,-2.0,0.0,-1.0,-2.0
-388.24511037394404,100,281.713931,-376.24511037394404,-3.0,-2.0,-3.0,0.0,-4.0
-337.45701182447374,100,283.222728,-332.45701182447374,0.0,-2.0,0.0,-2.0,-1.0
-505.8757886439562,100,284.76254,-503.8757886439562,0.0,0.0,-1.0,-1.0,0.0
-594.9670090787113,100,286.315952,-588.9670090787113,0.0,-3.0,0.0,-3.0,0.0
-400.1633381024003,100,287.902692,-378.1633381024003,0.0,-6.0,-11.0,-5.0,0.0
-508.58410535007715,100,289.453391,-481.58410535007715,-1.0,-11.0,-3.0,-1.0,-11.0
-403.5644388701767,100,291.11886,-403.5644388701767,0.0,0.0,0.0,0.0,0.0
-291.2873253580183,100,292.514816,-276.2873253580183,0.0,-6.0,-3.0,-6.0,0.0
-344.335077194497,100,293.939743,-336.335077194497,0.0,-4.0,0.0,0.0,-4.0
-456.29129541665316,100,313.377876,-450.29129541665316,-3.0,0.0,0.0,0.0,-3.0
-325.67832519859076,100,315.12424,-316.67832519859076,-1.0,-3.0,-5.0,0.0,0.0
-624.1420452073216,100,316.642228,-624.1420452073216,0.0,0.0,0.0,0.0,0.0
-509.77043078653514,100,318.396897,-503.77043078653514,0.0,0.0,-4.0,0.0,-2.0
-350.1214224752039,100,319.840463,-346.1214224752039,0.0,-2.0,0.0,0.0,-2.0
-383.6491456218064,100,321.556508,-381.6491456218064,0.0,0.0,0.0,-2.0,0.0
-383.9875670745969,100,323.01387,-359.9875670745969,-2.0,-2.0,-10.0,-10.0,0.0
-485.7062006238848,100,324.714734,-455.7062006238848,-9.0,-2.0,-12.0,-7.0,0.0
-342.59013656154275,100,325.929812,-342.59013656154275,0.0,0.0,0.0,0.0,0.0
-434.6920747682452,100,327.366742,-430.6920747682452,-4.0,0.0,0.0,0.0,0.0
-368.19273389689624,100,346.731035,-347.19273389689624,-14.0,0.0,-3.0,-4.0,0.0
-330.10746417194605,100,348.299927,-326.10746417194605,0.0,-2.0,-2.0,0.0,0.0
-550.784281425178,100,349.837468,-531.784281425178,0.0,-4.0,-1.0,-3.0,-11.0
-299.9922138573602,100,351.389595,-295.9922138573602,-2.0,0.0,0.0,0.0,-2.0
-373.2563791628927,100,352.938627,-366.2563791628927,-3.0,-1.0,-1.0,-2.0,0.0
-410.7916208617389,100,354.500868,-409.7916208617389,0.0,0.0,0.0,0.0,-1.0
-362.8663478586823,100,356.061774,-352.8663478586823,0.0,0.0,0.0,-10.0,0.0
-337.7439745180309,100,357.624936,-320.7439745180309,-4.0,0.0,-8.0,0.0,-5.0
-388.8026503017172,100,358.941638,-378.8026503017172,0.0,0.0,-7.0,-2.0,-1.0
-406.0454647485167,100,360.283736,-386.0454647485167,0.0,-2.0,-4.0,-6.0,-8.0
-433.96024122368544,100,379.56477,-419.96024122368544,-9.0,-1.0,-4.0,0.0,0.0
-340.03095956891775,100,380.970613,-338.03095956891775,-2.0,0.0,0.0,0.0,0.0
-500.76184008829296,100,382.571611,-498.76184008829296,0.0,0.0,0.0,0.0,-2.0
-907.367782741785,100,384.146698,-907.367782741785,0.0,0.0,0.0,0.0,0.0
-411.31580548826605,100,385.645384,-406.31580548826605,0.0,-3.0,0.0,0.0,-2.0
-403.37379333004355,100,387.213833,-399.37379333004355,0.0,-2.0,-2.0,0.0,0.0
-397.46259471960366,100,388.619157,-395.46259471960366,-1.0,0.0,0.0,0.0,-1.0
-434.5913963839412,100,390.16833,-423.5913963839412,0.0,-5.0,0.0,-5.0,-1.0
-390.29989786073565,100,391.380838,-373.29989786073565,-2.0,-15.0,0.0,0.0,0.0
-452.2554538883269,100,393.015076,-452.2554538883269,0.0,0.0,0.0,0.0,0.0
-396.76578143052757,100,412.110204,-373.76578143052757,-2.0,-7.0,-7.0,-2.0,-5.0
-482.21580182388425,100,413.730098,-473.21580182388425,-2.0,-2.0,-2.0,0.0,-3.0
-330.046080250293,100,415.282224,-324.046080250293,-2.0,0.0,0.0,-2.0,-2.0
-427.21752884984016,100,416.802489,-418.21752884984016,-4.0,0.0,0.0,0.0,-5.0
-417.381764061749,100,418.478333,-399.381764061749,-1.0,-6.0,-7.0,-4.0,0.0
-421.0944211613387,100,419.933836,-419.0944211613387,0.0,0.0,0.0,0.0,-2.0
-293.48435819894075,100,421.604554,-291.48435819894075,0.0,0.0,-2.0,0.0,0.0
-481.15949101001024,100,422.945275,-471.15949101001024,0.0,0.0,-6.0,-4.0,0.0
-397.4955763965845,100,424.540366,-391.4955763965845,0.0,0.0,-3.0,0.0,-3.0
-355.66012708842754,100,425.952667,-337.66012708842754,0.0,0.0,-6.0,-12.0,0.0
-695.9537301659584,100,445.167768,-695.9537301659584,0.0,0.0,0.0,0.0,0.0
-550.6350696887821,100,446.530229,-538.6350696887821,0.0,-3.0,-5.0,-1.0,-3.0
-373.34980058670044,100,448.239854,-373.34980058670044,0.0,0.0,0.0,0.0,0.0
-399.9896145053208,100,449.611973,-399.9896145053208,0.0,0.0,0.0,0.0,0.0
-305.3111734408885,100,451.343823,-301.3111734408885,-2.0,0.0,-2.0,0.0,0.0
-419.51180298626423,100,452.762249,-402.51180298626423,0.0,-3.0,0.0,-7.0,-7.0
-351.7818794567138,100,454.45092,-351.7818794567138,0.0,0.0,0.0,0.0,0.0
-336.6364031750709,100,455.757646,-321.6364031750709,-9.0,-4.0,0.0,0.0,-2.0
-427.3640051111579,100,457.471388,-421.3640051111579,0.0,-3.0,0.0,-3.0,0.0
-363.0429445952177,100,459.133466,-353.0429445952177,-2.0,-2.0,-3.0,-2.0,-1.0
-416.974781870842,100,478.409667,-409.974781870842,0.0,-7.0,0.0,0.0,0.0
-482.1431707292795,100,480.00831,-480.1431707292795,0.0,0.0,-2.0,0.0,0.0
-494.952500667423,100,481.411364,-482.952500667423,-1.0,-2.0,-2.0,-7.0,0.0
-567.2981692347676,100,483.150743,-559.2981692347676,-1.0,0.0,-3.0,-4.0,0.0
-417.3598906826228,100,484.556842,-405.3598906826228,-2.0,-2.0,-4.0,-4.0,0.0
-303.7291353531182,100,486.255737,-292.7291353531182,-3.0,0.0,-1.0,-7.0,0.0
-390.97190847154707,100,487.637986,-389.97190847154707,-1.0,0.0,0.0,0.0,0.0
-467.4066670499742,100,489.251103,-440.4066670499742,-10.0,0.0,0.0,-17.0,0.0
-411.03770436532795,100,490.61321,-397.03770436532795,-4.0,-8.0,0.0,0.0,-2.0
-978.0573105290532,100,492.382284,-976.0573105290532,0.0,-2.0,0.0,0.0,0.0
-351.2904302533716,100,511.596837,-349.2904302533716,0.0,0.0,-2.0,0.0,0.0
-411.2888316512108,100,513.386163,-403.2888316512108,0.0,-6.0,-2.0,0.0,0.0
-480.50693632662296,100,515.129703,-465.50693632662296,0.0,0.0,-7.0,-2.0,-6.0
-211.7034569149837,100,517.030351,-197.7034569149837,-2.0,-5.0,-5.0,0.0,-2.0
-347.81365944445133,100,518.518411,-346.81365944445133,0.0,0.0,0.0,0.0,-1.0
-341.0380514115095,100,520.2662,-333.0380514115095,-2.0,-4.0,0.0,-2.0,0.0
-429.61727606877685,100,521.782598,-425.61727606877685,0.0,0.0,-1.0,-3.0,0.0
-343.8292029313743,100,523.340911,-332.8292029313743,0.0,0.0,-2.0,-4.0,-5.0
-313.5301054008305,100,525.312124,-309.5301054008305,-3.0,0.0,0.0,-1.0,0.0
-316.43973827920854,100,526.807662,-287.43973827920854,-7.0,-2.0,-10.0,-10.0,0.0
-430.8542245849967,100,546.143121,-420.8542245849967,-5.0,0.0,-5.0,0.0,0.0
-383.38692235946655,100,547.561319,-373.38692235946655,0.0,-6.0,-2.0,0.0,-2.0
-576.2344490997493,100,549.264496,-554.2344490997493,-2.0,-6.0,-5.0,-6.0,-3.0
-403.42412185296416,100,550.747005,-396.42412185296416,-2.0,0.0,-2.0,-3.0,0.0
-525.0342623591423,100,552.387836,-517.0342623591423,-2.0,-4.0,-1.0,-1.0,0.0
-392.3538961969316,100,553.846513,-389.3538961969316,-3.0,0.0,0.0,0.0,0.0
-480.93969471380115,100,555.450126,-476.93969471380115,-2.0,-2.0,0.0,0.0,0.0
-366.8899644911289,100,557.139819,-362.8899644911289,-2.0,0.0,0.0,-2.0,0.0
-435.59246502257884,100,558.665657,-429.59246502257884,0.0,0.0,-3.0,0.0,-3.0
-404.6391966342926,100,560.391499,-402.6391966342926,0.0,0.0,0.0,0.0,-2.0
-418.08809093758464,100,579.006082,-403.08809093758464,0.0,-3.0,-4.0,-3.0,-5.0
-431.8122297972441,100,580.768024,-427.8122297972441,0.0,-3.0,-1.0,0.0,0.0
-342.2614248804748,100,582.403612,-324.2614248804748,0.0,-6.0,-12.0,0.0,0.0
-386.6923005003482,100,584.100437,-381.6923005003482,-2.0,-3.0,0.0,0.0,0.0
-535.2205813899636,100,585.720962,-535.2205813899636,0.0,0.0,0.0,0.0,0.0
-486.6576953679323,100,587.196792,-483.6576953679323,-1.0,-1.0,-1.0,0.0,0.0
-487.43958692997694,100,588.826273,-487.43958692997694,0.0,0.0,0.0,0.0,0.0
-322.3462365115993,100,590.687027,-322.3462365115993,0.0,0.0,0.0,0.0,0.0
-434.7764538899064,100,592.296129,-428.7764538899064,0.0,0.0,-3.0,0.0,-3.0
-361.5522563941777,100,594.000899,-357.5522563941777,-1.0,-2.0,-1.0,0.0,0.0
