# {"t_start": 1593313974.5839612, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-167.98178765922785,100,1.825447,-167.98178765922785,0.0,0.0
-292.09438844025135,100,2.366634,-292.09438844025135,0.0,0.0
-230.12559060752392,100,2.942128,-230.12559060752392,0.0,0.0
-294.4517991617322,100,3.458821,-294.4517991617322,0.0,0.0
-126.66020792350173,100,4.036746,-126.66020792350173,0.0,0.0
-284.1770014464855,100,4.616338,-284.1770014464855,0.0,0.0
-403.2231927327812,100,5.163864,-403.2231927327812,0.0,0.0
-420.0305809378624,100,5.69139,-420.0305809378624,0.0,0.0
-285.6779488194734,100,6.196012,-285.6779488194734,0.0,0.0
-554.7792783677578,100,6.728357,-554.7792783677578,0.0,0.0
-209.76134103909135,100,20.956525,-203.76134103909135,-4.0,-2.0
-166.47307377308607,100,21.496245,-166.47307377308607,0.0,0.0
-268.71044182777405,100,22.043595,-267.71044182777405,-1.0,0.0
-157.127615964273,100,22.551502,-157.127615964273,0.0,0.0
-154.29838239774108,100,23.089946,-154.29838239774108,0.0,0.0
-192.5752247981727,100,23.68827,-185.5752247981727,0.0,-7.0
-193.31677573174238,100,24.20623,-193.31677573174238,0.0,0.0
-298.96828323602676,100,24.73493,-298.96828323602676,0.0,0.0
-228.94451121985912,100,25.29102,-228.94451121985912,0.0,0.0
-303.1290475577116,100,25.830498,-302.1290475577116,0.0,-1.0
-414.9130626618862,100,33.678838,-412.9130626618862,-2.0,0.0
-322.06497383117676,100,34.159092,-322.06497383117676,0.0,0.0
-281.57704696804285,100,34.67025,-281.57704696804285,0.0,0.0
-280.7781921774149,100,35.189014,-280.7781921774149,0.0,0.0
-194.37252585217357,100,35.721599,-194.37252585217357,0.0,0.0
-239.09135811030865,100,36.26387,-233.09135811030865,-6.0,0.0
-312.5235347338021,100,36.833164,-310.5235347338021,0.0,-2.0
-260.9947662204504,100,37.341247,-260.9947662204504,0.0,0.0
-324.50523468106985,100,37.903654,-322.50523468106985,-2.0,0.0
-419.6840929389,100,38.431804,-418.6840929389,-1.0,0.0
-238.56387448310852,100,46.217526,-238.56387448310852,0.0,0.0
-230.51091585773975,100,46.71321,-229.51091585773975,-1.0,0.0
-214.78494863957167,100,47.197344,-214.78494863957167,0.0,0.0
-242.09995232895017,100,47.699001,-242.09995232895017,0.0,0.0
-289.8768460601568,100,48.227294,-289.8768460601568,0.0,0.0
-186.32213407754898,100,48.761835,-186.32213407754898,0.0,0.0
-264.8589025270194,100,49.310195,-263.8589025270194,0.0,-1.0
-252.90444433689117,100,49.855999,-252.90444433689117,0.0,0.0
-241.3252977579832,100,50.38669,-241.3252977579832,0.0,0.0
-232.27530523389578,100,50.915307,-232.27530523389578,0.0,0.0
-225.25947431102395,100,58.03542,-225.25947431102395,0.0,0.0
-262.1977181099355,100,58.587433,-251.19771810993552,0.0,-11.0
-237.4246230199933,100,59.125416,-237.4246230199933,0.0,0.0
-226.8220998942852,100,59.673156,-223.8220998942852,-3.0,0.0
-291.179310888052,100,60.213793,-291.179310888052,0.0,0.0
-267.2886088937521,100,60.765114,-267.2886088937521,0.0,0.0
-241.14644035696983,100,61.293088,-241.14644035696983,0.0,0.0
-221.12397035956383,100,61.850868,-221.12397035956383,0.0,0.0
-258.68259539827704,100,62.396989,-258.68259539827704,0.0,0.0
-222.0056913048029,100,62.947256,-221.0056913048029,-1.0,0.0
-123.07071615383029,100,69.560598,-121.07071615383029,0.0,-2.0
-214.4202726855874,100,70.08623,-214.4202726855874,0.0,0.0
-167.03038224531338,100,70.632447,-161.03038224531338,0.0,-6.0
