# {"t_start": 1593313974.3111646, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-183.49853698909283,100,2.098716,-183.49853698909283,0.0,0.0
-229.17039242899045,100,2.640363,-229.17039242899045,0.0,0.0
-258.8292806595564,100,3.214726,-258.8292806595564,0.0,0.0
-326.13350562751293,100,3.730657,-326.13350562751293,0.0,0.0
-275.66347376815975,100,4.309567,-275.66347376815975,0.0,0.0
-236.22567739337683,100,4.889189,-236.22567739337683,0.0,0.0
-293.2145289964974,100,5.436727,-293.2145289964974,0.0,0.0
-146.4447760619223,100,5.963978,-146.4447760619223,0.0,0.0
-174.97844049334526,100,6.468744,-174.97844049334526,0.0,0.0
-294.9654021933675,100,7.001381,-294.9654021933675,0.0,0.0
-183.27599982591346,100,21.229478,-182.27599982591346,-1.0,0.0
-208.18946731090546,100,21.77014,-208.18946731090546,0.0,0.0
-236.19699618965387,100,22.316007,-236.19699618965387,0.0,0.0
-349.5112552754581,100,22.825299,-349.5112552754581,0.0,0.0
-349.8536579608917,100,23.363812,-349.8536579608917,0.0,0.0
-271.4552487209439,100,23.962027,-271.4552487209439,0.0,0.0
-237.1184557452798,100,24.478992,-233.1184557452798,-2.0,-2.0
-211.8097471818328,100,25.007238,-206.8097471818328,-1.0,-4.0
-324.03808115422726,100,25.562952,-324.03808115422726,0.0,0.0
-168.59625104814768,100,26.103679,-166.59625104814768,-2.0,0.0
-233.8706964738667,100,33.952115,-228.8706964738667,-3.0,-2.0
-156.98901091516018,100,34.431623,-156.98901091516018,0.0,0.0
-250.29390680789948,100,34.943406,-248.29390680789948,-1.0,-1.0
-273.13571409136057,100,35.462406,-273.13571409136057,0.0,0.0
-168.24048509262502,100,35.994722,-168.24048509262502,0.0,0.0
-298.48767417669296,100,36.536395,-298.48767417669296,0.0,0.0
-234.76615750044584,100,37.106228,-233.76615750044584,-1.0,0.0
-205.88968543335795,100,37.614095,-203.88968543335795,0.0,-2.0
-505.773869484663,100,38.177083,-505.773869484663,0.0,0.0
-284.07558411359787,100,38.704504,-277.07558411359787,-5.0,-2.0
-246.09504641778767,100,46.490845,-246.09504641778767,0.0,0.0
-292.08693182468414,100,46.987636,-292.08693182468414,0.0,0.0
-218.55160004273057,100,47.469952,-218.55160004273057,0.0,0.0
-231.75690194498748,100,47.972574,-231.75690194498748,0.0,0.0
-127.65475859446451,100,48.501083,-127.65475859446451,0.0,0.0
-231.62951166927814,100,49.036033,-229.62951166927814,0.0,-2.0
-209.19333393126726,100,49.582278,-208.19333393126726,0.0,-1.0
-185.31125503964722,100,50.12954,-185.31125503964722,0.0,0.0
-219.3356938958168,100,50.659247,-219.3356938958168,0.0,0.0
-195.93892588466406,100,51.188028,-191.93892588466406,0.0,-4.0
-148.24225350096822,100,58.308918,-143.24225350096822,-2.0,-3.0
-170.6722369156778,100,58.860582,-170.6722369156778,0.0,0.0
-216.29002265445888,100,59.397392,-216.29002265445888,0.0,0.0
-164.0439229356125,100,59.946134,-158.0439229356125,-2.0,-4.0
-149.66273640841246,100,60.486033,-149.66273640841246,0.0,0.0
-205.38476142287254,100,61.037386,-205.38476142287254,0.0,0.0
-168.59688237309456,100,61.565888,-167.59688237309456,0.0,-1.0
-196.28095034882426,100,62.123077,-194.28095034882426,-2.0,0.0
-306.53609002381563,100,62.669706,-298.53609002381563,-4.0,-4.0
-252.7777863163501,100,63.219296,-242.7777863163501,-5.0,-5.0
-134.80260843411088,100,69.832727,-132.80260843411088,-2.0,0.0
-233.29672141373158,100,70.359601,-233.29672141373158,0.0,0.0
-241.03051076829433,100,70.904516,-233.03051076829433,-4.0,-4.0
-164.5555340219289,100,71.437388,-163.5555340219289,-1.0,0.0
-114.34945320012048,100,71.985209,-111.34945320012048,-3.0,0.0
-225.35258864983916,100,72.470229,-225.35258864983916,0.0,0.0
-257.4618554599583,100,72.95815,-255.46185545995831,-1.0,-1.0
-144.7730892971158,100,73.434658,-144.7730892971158,0.0,0.0
-226.39841055497527,100,73.947947,-226.39841055497527,0.0,0.0
-254.50258840993047,100,74.421403,-247.50258840993047,-7.0,0.0
-242.4189350567758,100,81.929111,-240.4189350567758,-2.0,0.0
-141.98096257448196,100,82.459289,-141.98096257448196,0.0,0.0
-193.53482215851545,100,83.025784,-193.53482215851545,0.0,0.0
-242.96105955168605,100,83.57603,-242.96105955168605,0.0,0.0
-245.85294064693153,100,84.118371,-245.85294064693153,0.0,0.0
-254.66315919160843,100,84.626509,-248.66315919160843,-5.0,-1.0
-235.21739193797112,100,85.163869,-235.21739193797112,0.0,0.0
-211.47727866470814,100,85.680612,-211.47727866470814,0.0,0.0
-253.13594348728657,100,86.18034,-253.13594348728657,0.0,0.0
-156.48450798168778,100,86.660159,-156.48450798168778,0.0,0.0
-131.38178177177906,100,94.223089,-131.38178177177906,0.0,0.0
-246.08061902225018,100,94.741536,-246.08061902225018,0.0,0.0
-139.01211827248335,100,95.249042,-139.01211827248335,0.0,0.0
-227.53556394577026,100,95.769357,-227.53556394577026,0.0,0.0
-203.29160948097706,100,96.360898,-203.29160948097706,0.0,0.0
-158.45246839523315,100,96.920412,-158.45246839523315,0.0,0.0
-169.8066979572177,100,97.458072,-165.8066979572177,-4.0,0.0
-318.5698377788067,100,97.944905,-316.5698377788067,0.0,-2.0
-194.30154067277908,100,98.455045,-194.30154067277908,0.0,0.0
-271.0122511573136,100,98.949852,-253.01225115731359,-10.0,-8.0
-135.3488621469587,100,106.738122,-134.3488621469587,0.0,-1.0
-219.28223626315594,100,107.262148,-219.28223626315594,0.0,0.0
-159.3691447377205,100,107.813797,-157.3691447377205,0.0,-2.0
-214.7150045502931,100,108.347091,-208.7150045502931,-3.0,-3.0
-214.85839158669114,100,108.991824,-214.85839158669114,0.0,0.0
-178.42958930134773,100,109.536881,-178.42958930134773,0.0,0.0
-230.0055105239153,100,110.020808,-230.0055105239153,0.0,0.0
-198.9114459278062,100,110.498223,-198.9114459278062,0.0,0.0
-197.79261641204357,100,110.987801,-197.79261641204357,0.0,0.0
-216.77629926567897,100,111.48494,-216.77629926567897,0.0,0.0
-138.42282717861235,100,118.71269,-138.42282717861235,0.0,0.0
-227.46757581830025,100,119.247881,-226.46757581830025,-1.0,0.0
-223.4592891037464,100,119.814716,-223.4592891037464,0.0,0.0
-134.45384004712105,100,120.337409,-133.45384004712105,0.0,-1.0
-105.02619794383645,100,120.924865,-105.02619794383645,0.0,0.0
-123.96539004705846,100,121.506019,-116.96539004705846,-5.0,-2.0
-171.8987269550562,100,122.02156,-171.8987269550562,0.0,0.0
-119.5534192295745,100,122.515412,-117.5534192295745,0.0,-2.0
-108.41872460022569,100,122.984685,-108.41872460022569,0.0,0.0
-95.09129696898162,100,123.469533,-95.09129696898162,0.0,0.0
-198.58488267287612,100,130.925547,-196.58488267287612,-1.0,-1.0
-131.14206464588642,100,131.488814,-131.14206464588642,0.0,0.0
-237.05063013732433,100,132.033218,-228.05063013732433,-4.0,-5.0
-170.53355105314404,100,132.560938,-164.53355105314404,-6.0,0.0
-193.35142404958606,100,133.081738,-191.35142404958606,-2.0,0.0
-191.56250115297735,100,133.675339,-191.56250115297735,0.0,0.0
-257.2481601983309,100,134.229304,-257.2481601983309,0.0,0.0
-244.3832707181573,100,134.759013,-244.3832707181573,0.0,0.0
-159.36995761096478,100,135.262664,-159.36995761096478,0.0,0.0
-183.41046728007495,100,135.760823,-183.41046728007495,0.0,0.0
-188.3183242622763,100,143.422038,-188.3183242622763,0.0,0.0
-147.78751982422546,100,143.979748,-147.78751982422546,0.0,0.0
-238.86669158842415,100,144.503007,-236.86669158842415,-1.0,-1.0
-194.0538987442851,100,145.017956,-194.0538987442851,0.0,0.0
