# {"t_start": 1593579404.0549264, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-447.8520808927715,100,4.462747,-447.8520808927715,0.0,0.0,0.0,0.0,0.0
-329.54818184673786,100,5.85233,-328.54818184673786,0.0,-1.0,0.0,0.0,0.0
-757.3140838798136,100,7.183423,-757.3140838798136,0.0,0.0,0.0,0.0,0.0
-474.42555663734674,100,8.573813,-466.42555663734674,0.0,0.0,0.0,-4.0,-4.0
-813.763879865408,100,9.915099,-813.763879865408,0.0,0.0,0.0,0.0,0.0
-331.7840164527297,100,10.966602,-331.7840164527297,0.0,0.0,0.0,0.0,0.0
-631.5409116111696,100,12.468457,-631.5409116111696,0.0,0.0,0.0,0.0,0.0
-336.71510019525886,100,13.515881,-332.71510019525886,-2.0,0.0,-2.0,0.0,0.0
-543.5631646215916,100,14.788929,-543.5631646215916,0.0,0.0,0.0,0.0,0.0
-464.8483585678041,100,16.012359,-460.8483585678041,0.0,-2.0,0.0,-2.0,0.0
-974.2898051724769,100,48.16923,-974.2898051724769,0.0,0.0,0.0,0.0,0.0
-504.93062910065055,100,49.687534,-504.93062910065055,0.0,0.0,0.0,0.0,0.0
-391.4522321783006,100,50.742188,-379.4522321783006,0.0,-2.0,-6.0,-4.0,0.0
-426.0092482236214,100,52.15562,-426.0092482236214,0.0,0.0,0.0,0.0,0.0
-321.3273052275181,100,53.284226,-309.3273052275181,-2.0,-4.0,-3.0,-2.0,-1.0
-338.3079710183665,100,54.757546,-330.3079710183665,0.0,-2.0,0.0,-2.0,-4.0
-735.2085193134844,100,56.054174,-719.2085193134844,0.0,-11.0,0.0,0.0,-5.0
-257.99653393169865,100,57.734462,-242.99653393169865,-6.0,-5.0,-4.0,0.0,0.0
-606.473136216402,100,59.331703,-594.473136216402,-6.0,-3.0,-3.0,0.0,0.0
-341.081170162186,100,60.867057,-339.081170162186,-2.0,0.0,0.0,0.0,0.0
-198.24693735595793,100,79.625473,-178.24693735595793,-6.0,-10.0,0.0,0.0,-4.0
-374.793489927426,100,81.10778,-357.793489927426,-1.0,-1.0,-5.0,-2.0,-8.0
-657.9355106502771,100,82.783388,-649.9355106502771,0.0,-2.0,0.0,-4.0,-2.0
-316.44366120547056,100,84.190004,-316.44366120547056,0.0,0.0,0.0,0.0,0.0
-403.30232537537813,100,85.707273,-385.30232537537813,-3.0,-1.0,-1.0,-8.0,-5.0
-374.26534497365355,100,86.991601,-363.26534497365355,0.0,-1.0,-2.0,-4.0,-4.0
-445.14034019224346,100,88.68854,-443.14034019224346,0.0,0.0,-1.0,-1.0,0.0
-382.9661254733801,100,90.215157,-378.9661254733801,-2.0,0.0,-2.0,0.0,0.0
-600.7005057297647,100,92.096023,-584.7005057297647,-4.0,0.0,-6.0,-6.0,0.0
-323.5283468775451,100,93.572437,-313.5283468775451,-3.0,-1.0,-2.0,0.0,-4.0
-471.2977395839989,100,112.631972,-468.2977395839989,0.0,-1.0,-1.0,0.0,-1.0
-348.0197959402576,100,113.996788,-339.0197959402576,-4.0,0.0,-4.0,0.0,-1.0
-433.35121904313564,100,115.457512,-419.35121904313564,-6.0,-1.0,0.0,-4.0,-3.0
-440.8288134802133,100,116.790573,-432.8288134802133,-4.0,-4.0,0.0,0.0,0.0
-424.98466967977583,100,118.413715,-418.98466967977583,-1.0,0.0,-1.0,-1.0,-3.0
-412.1623588949442,100,119.661902,-392.1623588949442,-4.0,-8.0,0.0,-6.0,-2.0
-301.21428215131164,100,121.20761,-294.21428215131164,0.0,-5.0,-2.0,0.0,0.0
-380.0623919405043,100,122.773104,-380.0623919405043,0.0,0.0,0.0,0.0,0.0
-706.891232566908,100,124.571559,-704.891232566908,0.0,-1.0,-1.0,0.0,0.0
-417.38291800767183,100,126.192246,-404.38291800767183,-5.0,-1.0,-3.0,0.0,-4.0
-366.51668024994433,100,145.101002,-358.51668024994433,-4.0,0.0,-4.0,0.0,0.0
-734.4910277724266,100,146.487915,-709.4910277724266,0.0,-4.0,0.0,-12.0,-9.0
-336.4169951751828,100,147.923923,-320.4169951751828,-3.0,-1.0,-4.0,-6.0,-2.0
-354.71379954740405,100,149.607014,-344.71379954740405,-6.0,-2.0,0.0,-2.0,0.0
-486.484478706494,100,150.884066,-482.484478706494,0.0,-2.0,0.0,-2.0,0.0
-369.4184294398874,100,152.382038,-365.4184294398874,0.0,0.0,0.0,-2.0,-2.0
-311.9568271841854,100,153.679538,-274.9568271841854,0.0,-14.0,-14.0,-9.0,0.0
-314.58477651607245,100,155.11915,-310.58477651607245,0.0,-2.0,0.0,0.0,-2.0
-337.4834200562909,100,156.882912,-318.4834200562909,-2.0,-8.0,-7.0,-2.0,0.0
-374.65917033236474,100,158.668585,-351.65917033236474,-3.0,-2.0,-5.0,-5.0,-8.0
-463.23873641341925,100,177.200536,-461.23873641341925,0.0,0.0,-1.0,-1.0,0.0
-938.1595631837845,100,178.539352,-912.1595631837845,-5.0,0.0,-14.0,-3.0,-4.0
-465.5680048838258,100,180.057565,-441.5680048838258,-4.0,-5.0,-5.0,-9.0,-1.0
-383.66941368579865,100,181.445035,-364.66941368579865,0.0,-4.0,-2.0,-13.0,0.0
-355.2607987895608,100,183.013868,-351.2607987895608,-2.0,-2.0,0.0,0.0,0.0
-418.99514281610027,100,184.356184,-413.99514281610027,-1.0,-2.0,0.0,-1.0,-1.0
-490.85740512795746,100,185.893679,-463.85740512795746,-11.0,-7.0,-6.0,-2.0,-1.0
-438.55146891996264,100,187.262997,-431.55146891996264,0.0,0.0,-2.0,-2.0,-3.0
