# {"t_start": 1593579403.9337974, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5
-1152.7545739151537,100,4.584709,-1152.7545739151537,0.0,0.0,0.0,0.0,0.0
-321.26173112448305,100,5.96882,-321.26173112448305,0.0,0.0,0.0,0.0,0.0
-898.8923954069614,100,7.304465,-898.8923954069614,0.0,0.0,0.0,0.0,0.0
-382.25610699132085,100,8.688214,-382.25610699132085,0.0,0.0,0.0,0.0,0.0
-284.9346341788769,100,10.039451,-284.9346341788769,0.0,0.0,0.0,0.0,0.0
-260.24662775173783,100,11.090042,-260.24662775173783,0.0,0.0,0.0,0.0,0.0
-411.92545679956675,100,12.590246,-411.92545679956675,0.0,0.0,0.0,0.0,0.0
-656.5512795830145,100,13.63721,-656.5512795830145,0.0,0.0,0.0,0.0,0.0
-212.91300328820944,100,14.911073,-212.91300328820944,0.0,0.0,0.0,0.0,0.0
-909.6831752471626,100,16.134186,-909.6831752471626,0.0,0.0,0.0,0.0,0.0
-851.2225114181638,100,48.291203,-851.2225114181638,0.0,0.0,0.0,0.0,0.0
-333.3692247904837,100,49.819496,-329.3692247904837,-4.0,0.0,0.0,0.0,0.0
-365.9812133349478,100,50.866752,-361.9812133349478,0.0,0.0,0.0,-2.0,-2.0
-393.233616206795,100,52.270639,-391.233616206795,-2.0,0.0,0.0,0.0,0.0
-422.68781770858914,100,53.406307,-410.68781770858914,-5.0,-5.0,-2.0,0.0,0.0
-322.7333787661046,100,54.888996,-322.7333787661046,0.0,0.0,0.0,0.0,0.0
-574.6105262413621,100,56.175758,-568.6105262413621,0.0,0.0,-3.0,-3.0,0.0
-490.4959904868156,100,57.864443,-488.4959904868156,-1.0,0.0,0.0,-1.0,0.0
-405.82897828891873,100,59.453177,-401.82897828891873,-1.0,-2.0,0.0,-1.0,0.0
-419.7449432183057,100,60.988417,-411.7449432183057,-3.0,0.0,0.0,-5.0,0.0
-323.2595912339166,100,79.749126,-311.2595912339166,-6.0,-4.0,0.0,-2.0,0.0
-471.5802056416869,100,81.231494,-465.5802056416869,0.0,-2.0,-2.0,0.0,-2.0
-583.1299837771803,100,82.903714,-577.1299837771803,-3.0,0.0,0.0,-3.0,0.0
-352.23677046597004,100,84.311946,-338.23677046597004,-5.0,-4.0,0.0,0.0,-5.0
-289.9256186708808,100,85.828264,-278.9256186708808,-5.0,-3.0,-3.0,0.0,0.0
-344.6761532202363,100,87.123566,-342.6761532202363,0.0,0.0,-2.0,0.0,0.0
-427.1234419075772,100,88.809641,-423.1234419075772,0.0,-2.0,0.0,-2.0,0.0
-312.650712152943,100,90.331333,-308.650712152943,-2.0,0.0,-2.0,0.0,0.0
-708.578523658216,100,92.224909,-694.578523658216,-1.0,-5.0,-3.0,-5.0,0.0
-261.86381227709353,100,93.694785,-248.86381227709353,-6.0,-4.0,-2.0,0.0,-1.0
-539.3347597680986,100,112.757076,-518.3347597680986,-5.0,-7.0,0.0,-3.0,-6.0
-331.4422957971692,100,114.11877,-327.4422957971692,0.0,-1.0,-1.0,0.0,-2.0
-368.38142458721995,100,115.582452,-341.38142458721995,-11.0,-2.0,-2.0,-9.0,-3.0
-414.59005411015823,100,116.911748,-378.59005411015823,-7.0,-13.0,-10.0,-3.0,-3.0
-395.09784105978906,100,118.538283,-369.09784105978906,0.0,-9.0,-8.0,-9.0,0.0
-341.5998230986297,100,119.783707,-335.5998230986297,-4.0,-2.0,0.0,0.0,0.0
-412.17277411557734,100,121.334731,-396.17277411557734,-3.0,-6.0,-2.0,-1.0,-4.0
-421.677701854147,100,122.894715,-420.677701854147,0.0,-1.0,0.0,0.0,0.0
-409.85860314778984,100,124.693018,-409.85860314778984,0.0,0.0,0.0,0.0,0.0
-456.41645947657526,100,126.308701,-434.41645947657526,-5.0,-9.0,-3.0,-5.0,0.0
-259.4191487422213,100,145.222037,-253.4191487422213,0.0,-3.0,-2.0,-1.0,0.0
-382.3515140339732,100,146.6037,-350.3515140339732,-15.0,0.0,0.0,-1.0,-16.0
-361.3284556604922,100,148.045341,-357.3284556604922,0.0,-2.0,-2.0,0.0,0.0
-346.42562752589583,100,149.733568,-339.42562752589583,-2.0,-3.0,0.0,-2.0,0.0
-310.0849742172286,100,151.005356,-305.0849742172286,0.0,-3.0,0.0,-2.0,0.0
