# {"t_start": 1594853785.570395, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2,r3,r4,r5,r6
-59.70308965028831,100,8.622969,16.02423965092408,-1.1694992658061376,-4.85109683288606,-5.136903036995736,-2.8092081324654226,-56.437201768859765,-5.323420264199272
-32.31725500390917,100,14.434314,-6.383725096629178,-6.718660367524172,-6.44108333096103,-6.404567867506597,-2.561153864411888,-2.1105485269928033,-1.6975159498834986
-83.38626632212521,100,19.949445,7.228496423763831,7.499268557888915,-3.495089202391257,17.052591654671218,-44.76308252445293,-61.35757783450827,-5.550873397096726
14.013076650701073,100,25.363671,-9.443990485100391,-11.916470732300535,-7.496318105628381,-3.3344052596414646,15.65482288070161,15.459134567048531,15.090303785621705
-70.59346905235014,100,30.659105,17.262385204593325,5.405137957830208,-7.874072504283495,19.113486399405332,-37.45702289134392,-56.42211269200268,-10.621270526548912
-4.397635002191588,100,35.796741,-6.449282775613393,-5.094302581177336,-10.058241717720803,-3.6542468870045774,7.101421019863245,6.6600329215133005,7.096985017947977
0.6254462861368797,100,41.080907,0.24189968537715845,8.190857282425894,-4.237291800308039,6.056107368601436,2.0448602339559194,-3.3800722842014492,-8.29091419971404
-56.434735730043535,100,46.450111,-6.135601659787201,-8.758180022338985,1.385830183987775,-12.289469346358704,-24.43386244522417,-3.610135377490555,-2.5933170628316886
-18.75544313511301,100,51.764955,-3.321800596361221,-6.350150963128026,9.922688963476938,-5.26199175791228,6.402023171884599,7.607525392277191,-27.75373734535021
-53.910523349217094,100,57.021894,-7.010055405959589,-7.167685916227445,-1.57063246665171,3.2958501681771817,-16.15795128560656,-14.714844640220734,-10.585203802728238
26.485283467535105,100,249.045033,8.52144764900537,-5.525688684887155,-0.24829275123142686,-0.7739876828771358,1.9280687380894208,12.715282980566965,9.86845321886907
-18.94628443146011,100,254.326939,-3.4848015179084637,-5.74109120319599,-8.541821690547376,-8.626778154824104,7.314178462765425,5.200032501159755,-5.066002828909358
-10.98194539234883,100,259.599504,19.543922396670823,1.3802135485898428,-0.9440803513209174,10.067038374271378,-49.780599252371275,15.707923203658734,-6.956363311847419
-55.85640685476697,100,264.948093,-5.106005596317471,-7.221268354083881,4.107046317243805,-1.0478748648806007,-5.4517474203862095,-26.047406162050958,-15.089150774291651
-39.846221917934294,100,270.178691,-4.061794030432668,-10.144966689605853,-5.818817326022,-10.472416694992011,-5.177514337559808,-2.243442329720959,-1.9272705096010048
-66.41035453824892,100,275.360993,11.624504354729662,-6.37925613156571,-8.047378946300013,5.457429896918016,-36.336569344820525,-26.082919359227105,-6.646165007983247
-94.4035765093925,100,280.792082,37.613598155402734,11.568761847484321,1.2861794684665955,-10.57106951757877,-103.89464292875783,-2.576846248749786,-27.82955728565975
-47.60510441470218,100,286.009802,32.06422875371149,2.859691730752314,-1.4745290952059737,4.723261816084751,-92.89221004834245,0.9041721304631423,6.210280297834534
-93.63451995053693,100,291.396952,2.42581898479881,-7.0335224157852405,15.70486033596602,1.4713788541054107,-48.02641111060312,-25.309613508967708,-32.86703109005109
-64.39371451158856,100,296.777237,2.35779182577784,9.210850709513444,-7.005635025168581,-6.432717733505079,-26.245648657443425,-11.04355587923035,-25.234799751532407
-86.00122319666428,100,434.989297,36.23773502208042,1.7741733333167444,-8.414487727498539,4.157943060094681,-93.60922859382838,-8.147857979583558,-17.99950031124565
