# {"t_start": 1593284918.399511, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-355.60577357560396,100,1.896208,-355.60577357560396,0.0,0.0
-366.7447149306536,100,2.62479,-366.7447149306536,0.0,0.0
-295.0438026562333,100,3.333122,-295.0438026562333,0.0,0.0
-221.28876960277557,100,4.065169,-221.28876960277557,0.0,0.0
-516.2763645611703,100,4.741159,-516.2763645611703,0.0,0.0
-416.18977320194244,100,5.446588,-416.18977320194244,0.0,0.0
-207.99067900516093,100,6.135265,-207.99067900516093,0.0,0.0
-199.81993135786615,100,6.827805,-199.81993135786615,0.0,0.0
-329.52951773256063,100,7.519305,-329.52951773256063,0.0,0.0
-239.03036244376563,100,8.202622,-239.03036244376563,0.0,0.0
-602.9108085036278,100,51.34226,-602.9108085036278,0.0,0.0
-285.3837782256305,100,52.042109,-285.3837782256305,0.0,0.0
-384.85572639107704,100,52.736306,-384.85572639107704,0.0,0.0
-555.9426271468401,100,53.466455,-555.9426271468401,0.0,0.0
-416.4560364186764,100,54.154017,-416.4560364186764,0.0,0.0
-238.17566055059433,100,54.865194,-238.17566055059433,0.0,0.0
-481.8960648626089,100,55.56923,-481.8960648626089,0.0,0.0
-301.52231109142303,100,56.262046,-301.52231109142303,0.0,0.0
-339.837221108377,100,56.97726,-339.837221108377,0.0,0.0
-220.77122865617275,100,57.655548,-220.77122865617275,0.0,0.0
-388.7172520980239,100,86.740377,-388.7172520980239,0.0,0.0
-427.017660215497,100,87.431802,-427.017660215497,0.0,0.0
-262.04026398807764,100,88.128202,-262.04026398807764,0.0,0.0
-376.1176539361477,100,88.827703,-376.1176539361477,0.0,0.0
-359.42402800917625,100,89.535152,-359.42402800917625,0.0,0.0
-450.2752818316221,100,90.221076,-450.2752818316221,0.0,0.0
-281.07756281644106,100,90.921628,-281.07756281644106,0.0,0.0
-183.57329431176186,100,91.653767,-183.57329431176186,0.0,0.0
-193.40419203042984,100,92.343111,-193.40419203042984,0.0,0.0
-250.9796694368124,100,93.019455,-250.9796694368124,0.0,0.0
-219.32843337580562,100,121.725954,-217.32843337580562,-2.0,0.0
-183.81216716580093,100,122.411613,-183.81216716580093,0.0,0.0
-394.86088356375694,100,123.092241,-394.86088356375694,0.0,0.0
-326.3544815853238,100,123.793499,-326.3544815853238,0.0,0.0
-144.66483239177614,100,124.471113,-144.66483239177614,0.0,0.0
-407.80401634424925,100,125.170674,-407.80401634424925,0.0,0.0
-121.86297113075852,100,125.828607,-121.86297113075852,0.0,0.0
-327.07336936332285,100,126.530693,-326.07336936332285,-1.0,0.0
-167.30612765531987,100,127.232625,-167.30612765531987,0.0,0.0
-361.7182434797287,100,127.937648,-361.7182434797287,0.0,0.0
-158.18525854684412,100,156.896473,-156.18525854684412,-1.0,-1.0
-424.9787762016058,100,157.589046,-420.9787762016058,-4.0,0.0
-362.1488268226385,100,158.292322,-362.1488268226385,0.0,0.0
-450.9937252253294,100,158.980381,-450.9937252253294,0.0,0.0
-320.95701594650745,100,159.686526,-320.95701594650745,0.0,0.0
-308.8870931714773,100,160.398944,-306.8870931714773,-2.0,0.0
-394.710303068161,100,161.080541,-383.710303068161,-3.0,-8.0
-209.2135540470481,100,161.790915,-209.2135540470481,0.0,0.0
-239.68273675255477,100,162.50864,-234.68273675255477,0.0,-5.0
-218.8259328007698,100,163.19392,-218.8259328007698,0.0,0.0
-207.39574022591114,100,192.020665,-204.39574022591114,-3.0,0.0
-324.77548611164093,100,192.721528,-324.77548611164093,0.0,0.0
-190.0403431970626,100,193.433673,-189.0403431970626,-1.0,0.0
-394.5038870200515,100,194.136081,-394.5038870200515,0.0,0.0
-174.48466810584068,100,194.834838,-174.48466810584068,0.0,0.0
-301.04714953899384,100,195.524501,-301.04714953899384,0.0,0.0
-155.96972171217203,100,196.227475,-152.96972171217203,-3.0,0.0
-257.44232815504074,100,196.934143,-257.44232815504074,0.0,0.0
-214.886186234653,100,197.641688,-214.886186234653,0.0,0.0
-248.18618515878916,100,198.369158,-246.18618515878916,-2.0,0.0
-227.28244149684906,100,227.260609,-227.28244149684906,0.0,0.0
-287.80687522888184,100,227.963874,-287.80687522888184,0.0,0.0
-246.4524473398924,100,228.677404,-244.4524473398924,-2.0,0.0
-206.77712961658835,100,229.387944,-206.77712961658835,0.0,0.0
-264.29690608382225,100,230.06504,-264.29690608382225,0.0,0.0
-156.96917022019625,100,230.770556,-156.96917022019625,0.0,0.0
-238.75796307623386,100,231.462437,-238.75796307623386,0.0,0.0
-185.98715579882264,100,232.141721,-185.98715579882264,0.0,0.0
-208.73222695011646,100,232.845356,-208.73222695011646,0.0,0.0
-166.72310128994286,100,233.558545,-166.72310128994286,0.0,0.0
-260.6933697462082,100,262.249527,-260.6933697462082,0.0,0.0
-172.14141507679597,100,262.955606,-172.14141507679597,0.0,0.0
-240.9515137076378,100,263.664853,-240.9515137076378,0.0,0.0
-215.89724124781787,100,264.336062,-215.89724124781787,0.0,0.0
-178.51087296567857,100,265.024737,-178.51087296567857,0.0,0.0
-178.24334704503417,100,265.736925,-177.24334704503417,-1.0,0.0
-279.83512760698795,100,266.442315,-279.83512760698795,0.0,0.0
-210.64611502736807,100,267.128284,-210.64611502736807,0.0,0.0
-243.05686247022822,100,267.820207,-243.05686247022822,0.0,0.0
-175.2922772578895,100,268.537531,-175.2922772578895,0.0,0.0
-266.3728215228766,100,297.564125,-266.3728215228766,0.0,0.0
-182.80676377750933,100,298.282165,-182.80676377750933,0.0,0.0
-240.02866085246205,100,298.999335,-240.02866085246205,0.0,0.0
-296.1798130609095,100,299.684662,-295.1798130609095,-1.0,0.0
