# {"t_start": 1593311522.3514004, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-206.62336155585945,100,1.775267,-206.62336155585945,0.0,0.0
-287.06127935647964,100,2.400177,-287.06127935647964,0.0,0.0
-758.5927080512047,100,3.02089,-756.5927080512047,-1.0,-1.0
-234.1539979800582,100,3.619194,-234.1539979800582,0.0,0.0
-436.0851151794195,100,4.20347,-436.0851151794195,0.0,0.0
-215.01028136722744,100,4.814377,-215.01028136722744,0.0,0.0
-210.5888167656958,100,5.428221,-210.5888167656958,0.0,0.0
-428.19635459035635,100,6.039373,-428.19635459035635,0.0,0.0
-491.18495282530785,100,6.623514,-491.18495282530785,0.0,0.0
-176.22887352854013,100,7.22741,-176.22887352854013,0.0,0.0
-271.8559388946742,100,20.020403,-271.8559388946742,0.0,0.0
-208.94732035696507,100,20.613778,-208.94732035696507,0.0,0.0
-264.3982535973191,100,21.216282,-264.3982535973191,0.0,0.0
-335.2997517734766,100,21.797054,-334.2997517734766,0.0,-1.0
-463.6774559020996,100,22.339311,-462.6774559020996,0.0,-1.0
-302.88108165562153,100,22.923843,-300.88108165562153,0.0,-2.0
-338.5261778831482,100,23.539488,-338.5261778831482,0.0,0.0
-323.04945120215416,100,24.140558,-320.04945120215416,0.0,-3.0
-145.63986758422107,100,24.737643,-141.63986758422107,-2.0,-2.0
-216.45957259833813,100,25.363281,-216.45957259833813,0.0,0.0
-301.41533248126507,100,32.489767,-301.41533248126507,0.0,0.0
-277.5405586473644,100,33.054041,-277.5405586473644,0.0,0.0
-288.9405888915062,100,33.643644,-288.9405888915062,0.0,0.0
-219.3778462857008,100,34.257619,-207.3778462857008,-5.0,-7.0
-280.7356148175895,100,34.863736,-280.7356148175895,0.0,0.0
-532.2092401981354,100,35.476283,-532.2092401981354,0.0,0.0
-336.8598978873342,100,36.079372,-335.8598978873342,0.0,-1.0
-239.63078241050243,100,36.70761,-234.63078241050243,-5.0,0.0
-192.7609438151121,100,37.287927,-192.7609438151121,0.0,0.0
-321.49798887968063,100,37.894695,-318.49798887968063,0.0,-3.0
-165.0473308134824,100,45.235407,-158.0473308134824,-7.0,0.0
-256.4094379991293,100,45.838726,-256.4094379991293,0.0,0.0
-242.94090008642524,100,46.413701,-240.94090008642524,-1.0,-1.0
-168.4186352249235,100,47.010344,-168.4186352249235,0.0,0.0
-383.2441526427865,100,47.602665,-383.2441526427865,0.0,0.0
