# {"t_start": 1593315419.780634, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-395.4388298452832,100,2.395401,-395.4388298452832,0.0,0.0
-203.28431547433138,100,2.935857,-203.28431547433138,0.0,0.0
-525.4582254290581,100,3.424521,-525.4582254290581,0.0,0.0
-523.9992419034243,100,3.977243,-523.9992419034243,0.0,0.0
-273.17857575416565,100,4.504523,-273.17857575416565,0.0,0.0
-197.91951843351126,100,5.08908,-197.91951843351126,0.0,0.0
-229.17697719857097,100,5.567717,-229.17697719857097,0.0,0.0
-496.0552230477333,100,6.142274,-496.0552230477333,0.0,0.0
-157.03666791319847,100,6.70753,-157.03666791319847,0.0,0.0
-375.32506903866306,100,7.318777,-375.32506903866306,0.0,0.0
-159.4035870321095,100,23.832918,-159.4035870321095,0.0,0.0
-326.37682098150253,100,24.537528,-326.37682098150253,0.0,0.0
-212.6888509914279,100,25.20304,-207.6888509914279,-3.0,-2.0
-304.07656210660934,100,25.837446,-304.07656210660934,0.0,0.0
-247.95034317299724,100,26.502724,-239.95034317299724,-6.0,-2.0
-219.78698574006557,100,27.075083,-219.78698574006557,0.0,0.0
-247.10049214959145,100,27.681248,-247.10049214959145,0.0,0.0
-168.271459415555,100,28.281918,-168.271459415555,0.0,0.0
-184.79694149270654,100,28.883306,-184.79694149270654,0.0,0.0
-180.30642749089748,100,29.518085,-178.30642749089748,-1.0,-1.0
-197.28550631552935,100,38.172039,-194.28550631552935,-3.0,0.0
-273.6731709241867,100,38.83435,-273.6731709241867,0.0,0.0
-321.05679769441485,100,39.521347,-321.05679769441485,0.0,0.0
-235.79534992575645,100,40.127173,-235.79534992575645,0.0,0.0
-176.99741227179766,100,40.699603,-172.99741227179766,0.0,-4.0
-265.77036326378584,100,41.276611,-265.77036326378584,0.0,0.0
-220.2898608520627,100,41.850435,-220.2898608520627,0.0,0.0
-329.16645173728466,100,42.47164,-321.16645173728466,-4.0,-4.0
-218.96959221735597,100,43.13919,-218.96959221735597,0.0,0.0
-308.72525401972234,100,43.699775,-306.72525401972234,-2.0,0.0
-242.76504533551633,100,52.393836,-242.76504533551633,0.0,0.0
-263.7015018053353,100,53.043899,-243.70150180533528,-10.0,-10.0
-263.8414101153612,100,53.671999,-261.8414101153612,0.0,-2.0
-161.46841628104448,100,54.2651,-156.46841628104448,-1.0,-4.0
-239.21706616133451,100,54.863207,-237.21706616133451,0.0,-2.0
-222.43545978330076,100,55.454918,-222.43545978330076,0.0,0.0
-174.54207171872258,100,56.047936,-170.54207171872258,-4.0,0.0
-199.65359458327293,100,56.765325,-199.65359458327293,0.0,0.0
-193.99366696178913,100,57.289072,-193.99366696178913,0.0,0.0
-197.89814714342356,100,57.813576,-192.89814714342356,-2.0,-3.0
-149.0770063176751,100,66.468708,-149.0770063176751,0.0,0.0
-264.13906057178974,100,67.12949,-262.13906057178974,0.0,-2.0
-309.2733663097024,100,67.69538,-300.2733663097024,-5.0,-4.0
